#E_pot E_kin E_opt Temperature
-51685.3 1346.4 0 582.399
16.7615 1409.93 4.62363 609.88
44.9112 1389.17 9.24726 600.9
58.8166 1381.5 13.8709 597.584
37.1405 1405.32 18.4945 607.885
52.0409 1396.38 23.1182 604.018
53.0279 1399.87 27.7418 605.529
62.0376 1396.25 32.3654 603.965
53.5062 1408.55 36.989 609.282
59.7681 1406.92 41.6127 608.579
76.8448 1396.06 46.2363 603.879
55.0363 1420.44 50.8599 614.425
72.341 1409.3 55.4836 609.606
79.1461 1407.66 60.1072 608.897
66.3951 1423.65 64.7308 615.817
80.9949 1415.04 69.3545 612.089
85.7747 1414.87 73.9781 612.018
75.3208 1429.12 78.6017 618.181
87.8939 1422.32 83.2253 615.239
91.8252 1423.15 87.849 615.6
86.933 1431.94 92.4726 619.401
95.19 1428.89 97.0962 618.081
101.681 1427.34 101.72 617.411
94.818 1438.31 106.343 622.156
105.906 1432.39 110.967 619.595
109.725 1433.55 115.591 620.096
104.563 1442.67 120.214 624.04
109.407 1442.81 124.838 624.103
116.54 1440.55 129.462 623.124
112.961 1448.42 134.085 626.528
117.602 1448.44 138.709 626.538
124.758 1446.47 143.333 625.685
123.492 1452.28 147.956 628.198
121.788 1458.39 152.58 630.842
132.13 1453.32 157.203 628.648
133.817 1456.17 161.827 629.884
131.301 1462.88 166.451 632.784
142.961 1456.75 171.074 630.135
140.957 1463.11 175.698 632.883
140.722 1467.8 180.322 634.911
147.255 1466.47 184.945 634.339
147.096 1471.12 189.569 636.347
148.291 1474.67 194.192 637.885
155.707 1472.24 198.816 636.835
153.127 1479.26 203.44 639.87
157.247 1479.85 208.063 640.124
163.589 1478.46 212.687 639.522
162.793 1483.65 217.311 641.769
165.256 1485.87 221.934 642.728
168.198 1487.74 226.558 643.54
171.278 1489.14 231.182 644.145
177.934 1487.42 235.805 643.4
176.715 1493.18 240.429 645.892
180.613 1494.02 245.052 646.252
186.811 1492.88 249.676 645.763
186.262 1497.56 254.3 647.787
190.582 1498.43 258.923 648.16
189.6 1503.81 263.547 650.487
193.468 1504.48 268.171 650.78
198.006 1505.06 272.794 651.031
197.863 1509.66 277.418 653.018
201.845 1510.47 282.041 653.368
205.116 1511.86 286.665 653.969
207.314 1514.13 291.289 654.955
212.812 1513.65 295.912 654.745
210.955 1519.91 300.536 657.453
216.534 1519.24 305.16 657.162
224.338 1516.49 309.783 655.972
217.35 1527.43 314.407 660.705
226.519 1523.6 319.03 659.049
227.272 1527.29 323.654 660.643
226.592 1532.35 328.278 662.834
236.401 1527.94 332.901 660.925
234.566 1534 337.525 663.547
239.517 1533.99 342.149 663.545
242.939 1535.14 346.772 664.042
243.339 1539.6 351.396 665.971
247.749 1539.92 356.02 666.11
250.1 1542.12 360.643 667.059
257.452 1539.93 365.267 666.114
258.326 1543.4 369.89 667.612
255.261 1550.88 374.514 670.848
263.013 1548.46 379.138 669.803
259.138 1556.23 383.761 673.164
265.629 1554.97 388.385 672.617
269.553 1555.82 393.009 672.988
265.095 1564.35 397.632 676.677
281.669 1553.62 402.256 672.034
272.16 1566.97 406.879 677.81
283.445 1560.97 411.503 675.215
287.829 1561.33 416.127 675.37
282.299 1570.83 420.75 679.478
295.119 1563.52 425.374 676.319
290.613 1572.23 429.998 680.084
294.304 1573.27 434.621 680.536
301.452 1571.29 439.245 679.678
297.653 1579.38 443.868 683.178
303.821 1578.02 448.492 682.591
307.702 1578.99 453.116 683.007
310.089 1580.97 457.739 683.867
308.91 1586.71 462.363 686.35
320.42 1580.39 466.987 683.613
316.773 1588.28 471.61 687.029
321.976 1588.05 476.234 686.929
324.958 1589.71 480.858 687.645
324.347 1595.06 485.481 689.959
328.25 1595.63 490.105 690.209
333.846 1595.18 494.728 690.011
327.153 1605.95 499.352 694.672
336.225 1601.98 503.976 692.953
340.6 1602.26 508.599 693.075
341.666 1605.73 513.223 694.575
351.759 1600.6 517.847 692.358
346.724 1609.82 522.47 696.346
350.607 1611.08 527.094 696.89
355.084 1611.09 531.717 696.895
356.889 1613.69 536.341 698.017
359.349 1616.23 540.965 699.119
364.077 1616.25 545.588 699.127
364.958 1620.03 550.212 700.76
367.983 1621.83 554.836 701.54
372.367 1622.39 559.459 701.78
368.665 1630.21 564.083 705.164
380.387 1623.74 568.707 702.364
383.095 1625.68 573.33 703.207
376.773 1635.82 577.954 707.591
388.286 1629.79 582.577 704.982
390.765 1631.81 587.201 705.856
387.794 1639.12 591.825 709.018
397.867 1634.27 596.448 706.921
398.154 1638.53 601.072 708.763
399.743 1641.47 605.696 710.037
403.355 1642.61 610.319 710.528
403.702 1646.86 614.943 712.366
407.998 1647.5 619.566 712.643
411.147 1648.87 624.19 713.235
416.609 1648.57 628.814 713.106
414.961 1654.46 633.437 715.653
418.827 1655.08 638.061 715.921
429.086 1650.05 642.685 713.745
426.031 1657.29 647.308 716.879
428.766 1659.26 651.932 717.732
435.75 1657.16 656.555 716.824
436.015 1661.49 661.179 718.695
437.177 1664.94 665.803 720.187
444.827 1662.33 670.426 719.058
439.147 1671.97 675.05 723.227
448.082 1668.22 679.674 721.605
454.598 1666.61 684.297 720.909
452.237 1673.28 688.921 723.793
455.347 1674.85 693.545 724.474
460.154 1674.98 698.168 724.528
463.473 1676.13 702.792 725.026
463.216 1681.23 707.415 727.233
470.416 1678.97 712.039 726.258
472.684 1680.79 716.663 727.041
474.849 1683.36 721.286 728.155
478.867 1684.18 725.91 728.509
477.949 1689.53 730.534 730.826
485.511 1687.03 735.157 729.743
486.091 1691.11 739.781 731.506
490.358 1691.43 744.404 731.646
494.209 1692.44 749.028 732.082
495.243 1695.8 753.652 733.537
504.956 1691.26 758.275 731.571
501.042 1699.44 762.899 735.109
503.781 1701.56 767.523 736.026
512.355 1698.11 772.146 734.536
