#E_pot E_kin E_opt Temperature
-35057.9 934.122 0 581.344
18.8982 964.485 3.21366 600.241
18.1974 968.331 6.42732 602.634
37.433 953.967 9.64099 593.695
35.1343 959.21 12.8546 596.957
33.8521 963.419 16.0683 599.577
37.3264 963.409 19.282 599.571
34.8929 968.654 22.4956 602.835
38.9311 968.07 25.7093 602.472
46.6164 964.464 28.923 600.227
44.8264 969.186 32.1366 603.166
42.6934 974.047 35.3503 606.191
46.9765 973.601 38.5639 605.914
52.2943 971.691 41.7776 604.725
50.6426 976.267 44.9913 607.573
54.3047 975.974 48.2049 607.39
54.242 979.206 51.4186 609.402
56.1894 980.586 54.6323 610.261
60.5463 979.793 57.8459 609.768
61.6342 981.972 61.0596 611.123
61.14 985.444 64.2732 613.284
63.2746 986.732 67.4869 614.086
65.6815 987.514 70.7006 614.572
67.7785 988.859 73.9142 615.409
72.1119 988.096 77.1279 614.935
68.6324 994.28 80.3416 618.783
73.8931 992.538 83.5552 617.699
79.0837 990.965 86.7689 616.72
77.376 995.597 89.9825 619.603
81.5723 995.021 93.1962 619.244
82.8658 997.05 96.4099 620.507
82.8015 999.959 99.6235 622.318
84.3555 1001.67 102.837 623.382
90.7287 998.978 106.051 621.707
88.3366 1004.4 109.265 625.084
90.638 1005.28 112.478 625.63
96.5208 1003.1 115.692 624.274
95.9782 1006.65 118.905 626.484
95.6172 1010.07 122.119 628.608
101.927 1007.45 125.333 626.981
103.766 1008.7 128.546 627.756
99.4578 1015.95 131.76 632.266
105.25 1013.82 134.974 630.943
107.922 1014.48 138.187 631.355
109.301 1016.16 141.401 632.401
111.095 1017.8 144.615 633.422
112.214 1020.02 147.828 634.801
114.178 1021.22 151.042 635.546
117.364 1021.58 154.256 635.776
118.863 1023.2 157.469 636.78
121.046 1024.47 160.683 637.569
122.999 1025.79 163.897 638.393
122.475 1029.48 167.11 640.693
127.765 1027.59 170.324 639.516
128.321 1030.24 173.538 641.165
127.105 1034.43 176.751 643.769
131.651 1033.36 179.965 643.105
135.639 1032.83 183.179 642.774
134.924 1036.45 186.392 645.026
136.07 1038.53 189.606 646.323
139.098 1038.87 192.82 646.533
138.961 1041.99 196.033 648.475
145.35 1039.29 199.247 646.792
148.748 1039.09 202.461 646.67
144.801 1045.96 205.674 650.947
145.237 1048.74 208.888 652.674
152.883 1044.62 212.102 650.109
155.739 1045.05 215.315 650.379
150.364 1053.24 218.529 655.476
155.017 1052.01 221.743 654.708
160.147 1050.54 224.956 653.799
156.917 1056.48 228.17 657.493
161.558 1055.21 231.384 656.7
164.536 1055.79 234.597 657.064
165.896 1057.47 237.811 658.107
168.334 1058.3 241.025 658.627
170.483 1059.77 244.238 659.538
174.419 1059.11 247.452 659.13
173.412 1063.13 250.666 661.633
178.16 1061.85 253.879 660.838
180.9 1062.54 257.093 661.261
180.734 1065.75 260.307 663.262
179.571 1070.09 263.52 665.964
185.26 1068.08 266.734 664.715
186.906 1069.67 269.948 665.701
184.642 1075.1 273.161 669.08
192.328 1071.05 276.375 666.56
189.472 1076.72 279.589 670.087
191.192 1078.3 282.802 671.072
198.65 1074.74 286.016 668.855
200.797 1075.7 289.23 669.454
196.416 1082.82 292.443 673.888
203.259 1079.7 295.657 671.941
207.636 1078.77 298.871 671.362
203.071 1085.88 302.084 675.789
205.605 1086.85 305.298 676.395
216.127 1080.04 308.512 672.155
207.175 1091.43 311.725 679.243
213.634 1088.52 314.939 677.43
221.443 1084.54 318.153 674.957
218.425 1090.45 321.366 678.636
217.347 1094.66 324.58 681.256
226.21 1089.46 327.794 678.02
223.477 1095.16 331.007 681.565
226.171 1095.96 334.221 682.066
230.508 1095.14 337.435 681.551
227.959 1100.73 340.648 685.03
229.918 1101.87 343.862 685.738
234.789 1100.28 347.076 684.754
239.907 1098.97 350.289 683.936
236.028 1105.62 353.503 688.074
237.275 1107.57 356.716 689.288
242.799 1105.81 359.93 688.196
240.613 1111.03 363.144 691.441
244.479 1110.56 366.357 691.147
248.107 1110.25 369.571 690.955
246.099 1115.29 372.785 694.093
251.93 1112.93 375.998 692.623
254.009 1114.14 379.212 693.378
256.901 1114.56 382.426 693.641
256.274 1118.43 385.639 696.046
255.601 1122.28 388.853 698.444
262.487 1118.87 392.067 696.319
264.925 1119.64 395.28 696.799
260.86 1126.7 398.494 701.195
268.235 1122.97 401.708 698.873
274.206 1120.53 404.921 697.357
268.709 1128.96 408.135 702.598
274.093 1126.99 411.349 701.376
278.649 1126.04 414.562 700.783
276.565 1130.87 417.776 703.792
279.181 1131.69 420.99 704.3
286.657 1127.78 424.203 701.868
286.35 1131.16 427.417 703.971
283.414 1137.27 430.631 707.772
291.475 1132.7 433.844 704.925
288.451 1138.69 437.058 708.656
289.583 1140.66 440.272 709.882
297.984 1135.8 443.485 706.857
294.697 1141.96 446.699 710.693
296.739 1143.37 449.913 711.57
301.097 1142.6 453.126 711.09
306.482 1140.63 456.34 709.862
303.383 1146.52 459.554 713.531
307.612 1145.87 462.767 713.126
312.513 1144.58 465.981 712.323
304.95 1154.86 469.195 718.716
315.596 1147.86 472.408 714.365
312.591 1154.21 475.622 718.315
311.357 1157.94 478.836 720.636
322.643 1150.53 482.049 716.024
321.299 1155.13 485.263 718.884
321.281 1158.15 488.477 720.767
324.138 1158.76 491.69 721.148
327.971 1158.31 494.904 720.868
325.016 1164.32 498.118 724.603
329.122 1163.62 501.331 724.172
335.495 1160.76 504.545 722.39
332.774 1166.28 507.759 725.824
330.553 1171.62 510.972 729.15
342.089 1163.81 514.186 724.29
337.139 1171.59 517.4 729.132
341.492 1170.43 520.613 728.412
343.621 1171.73 523.827 729.215
344.424 1174.23 527.041 730.777
345.118 1176.47 530.254 732.171
349.62 1175.64 533.468 731.653
351.783 1176.92 536.682 732.448
352.59 1178.98 539.895 733.731
350.197 1184.55 543.109 737.197
353.656 1184.5 546.323 737.168
361.482 1180.17 549.536 734.468
362.165 1182.59 552.75 735.974
358.97 1188.57 555.964 739.697
365.841 1185.46 559.177 737.764
372.315 1182.5 562.391 735.918
368.795 1188.55 565.605 739.688
373.454 1187.49 568.818 739.026
372.664 1191.6 572.032 741.582
377.629 1189.86 575.246 740.502
377.913 1192.81 578.459 742.334
377.77 1196.04 581.673 744.349
384.358 1192.92 584.887 742.403
385.95 1194.48 588.1 743.374
386.705 1196.86 591.314 744.855
389.216 1197.73 594.527 745.398
390.941 1199.23 597.741 746.33
389.455 1203.91 600.955 749.247
395.828 1201.04 604.168 747.456
399.727 1200.37 607.382 747.045
399.346 1204.02 610.596 749.316
402.092 1204.4 613.809 749.55
408.276 1201.83 617.023 747.948
406.861 1206.24 620.237 750.692
408.703 1207.66 623.45 751.578
414.863 1205.27 626.664 750.09
409.884 1213.28 629.878 755.077
408.477 1217.66 633.091 757.804
414.353 1215.44 636.305 756.419
415.23 1217.74 639.519 757.855
415.265 1220.49 642.732 759.562
424.868 1214.71 645.946 755.966
427.089 1215.87 649.16 756.686
427.233 1218.5 652.373 758.326
428.671 1220.56 655.587 759.604
434.884 1217.94 658.801 757.976
437.307 1218.66 662.014 758.423
432.892 1226.07 665.228 763.036
441.85 1220.92 668.442 759.831
438.378 1227.43 671.655 763.882
437.469 1231.47 674.869 766.396
439.438 1232.73 678.083 767.179
443.055 1232.43 681.296 766.996
446.217 1232.88 684.51 767.276
446.817 1235.21 687.724 768.726
451.138 1234.07 690.937 768.015
460.025 1228.95 694.151 764.827
451.624 1239.97 697.365 771.689
455.623 1239.16 700.578 771.184
472.206 1226.71 703.792 763.435
459.884 1241.62 707.006 772.712
459.979 1244.97 710.219 774.797
470.313 1238.51 713.433 770.78
473.204 1238.6 716.647 770.837
470.856 1244.14 719.86 774.284
475.98 1242.36 723.074 773.171
480.755 1241.09 726.288 772.381
478.32 1246.69 729.501 775.866
477.706 1250.28 732.715 778.102
484.966 1246.6 735.929 775.81
