#E_pot E_kin E_opt Temperature
-2.97395 107.539 0 587.956
-3.95223 108.695 0.182903 594.28
-3.05439 107.988 0.365806 590.409
-3.26108 108.376 0.548709 592.534
-3.40331 108.698 0.731612 594.291
-3.12073 108.601 0.914514 593.764
-3.16856 108.835 1.09742 595.044
-3.36308 109.208 1.28032 597.079
-2.37148 108.409 1.46322 592.716
-2.8967 109.11 1.64613 596.548
-2.59066 108.99 1.82903 595.891
-2.27311 108.856 2.01193 595.155
-2.48129 109.248 2.19483 597.299
-2.09539 109.045 2.37774 596.19
-1.1593 108.295 2.56064 592.09
-0.784025 108.103 2.74354 591.038
-1.18271 108.685 2.92645 594.22
-1.66546 109.352 3.10935 597.867
-1.06076 108.928 3.29225 595.552
-1.066 109.116 3.47516 596.582
-1.47401 109.709 3.65806 599.82
-0.953763 109.372 3.84096 597.98
-0.850608 109.452 4.02386 598.414
-0.838025 109.624 4.20677 599.358
-0.732039 109.7 4.38967 599.775
-0.383698 109.54 4.57257 598.895
-0.728417 110.061 4.75548 601.746
-0.0902128 109.61 4.93838 599.282
-0.715345 110.414 5.12128 603.675
-0.66798 110.553 5.30418 604.434
-0.522881 110.592 5.48709 604.65
0.773113 109.484 5.66999 598.589
0.599275 109.839 5.85289 600.53
1.82055 108.803 6.0358 594.869
0.640574 110.162 6.2187 602.297
0.949309 110.042 6.4016 601.644
1.06493 110.109 6.5845 602.008
1.1601 110.197 6.76741 602.491
0.644228 110.896 6.95031 606.313
1.44678 110.275 7.13321 602.914
1.1359 110.771 7.31612 605.626
0.988683 111.1 7.49902 607.427
0.756276 111.513 7.68192 609.686
1.19273 111.265 7.86482 608.326
0.740327 111.898 8.04773 611.792
1.39716 111.427 8.23063 609.214
1.56713 111.435 8.41353 609.256
1.07597 112.114 8.59644 612.967
2.06406 111.311 8.77934 608.582
2.61057 110.949 8.96224 606.599
2.05745 111.684 9.14514 610.618
2.00159 111.923 9.32805 611.926
1.69175 112.412 9.51095 614.602
2.21293 112.077 9.69385 612.77
2.68824 111.787 9.87676 611.184
3.09085 111.566 10.0597 609.976
2.35347 112.488 10.2426 615.014
2.66387 112.357 10.4255 614.299
2.91542 112.293 10.6084 613.949
3.75622 111.638 10.7913 610.366
2.84744 112.725 10.9742 616.31
3.28991 112.47 11.1571 614.915
3.13376 112.808 11.34 616.765
3.2526 112.874 11.5229 617.123
3.38005 112.927 11.7058 617.415
3.96732 112.528 11.8887 615.231
3.65227 113.023 12.0716 617.938
3.7316 113.128 12.2545 618.512
2.86504 114.175 12.4374 624.236
3.94687 113.28 12.6203 619.346
4.85792 112.552 12.8032 615.364
4.43807 113.157 12.9861 618.673
4.617 113.158 13.169 618.68
4.39337 113.566 13.3519 620.908
5.48418 112.662 13.5348 615.966
3.9451 114.381 13.7177 625.367
4.1271 114.381 13.9006 625.362
4.76294 113.932 14.0835 622.911
5.055 113.822 14.2664 622.307
4.89433 114.167 14.4493 624.193
5.67929 113.569 14.6322 620.926
5.3658 114.061 14.8151 623.613
5.79738 113.817 14.998 622.281
5.77415 114.025 15.1809 623.417
5.42593 114.554 15.3638 626.312
6.7018 113.46 15.5467 620.332
5.70987 114.637 15.7296 626.766
5.82556 114.705 15.9126 627.137
6.53869 114.174 16.0955 624.233
6.54571 114.354 16.2784 625.215
6.8376 114.243 16.4613 624.61
7.10852 114.155 16.6442 624.13
6.51651 114.931 16.8271 628.373
7.11589 114.513 17.01 626.085
7.75019 114.063 17.1929 623.629
7.94526 114.056 17.3758 623.588
8.49731 113.691 17.5587 621.592
7.206 115.159 17.7416 629.616
8.62547 113.932 17.9245 622.908
7.39645 115.336 18.1074 630.585
8.05886 114.86 18.2903 627.983
8.16302 114.936 18.4732 628.397
7.9896 115.297 18.6561 630.37
7.98126 115.486 18.839 631.408
7.66976 115.98 19.0219 634.104
7.21688 116.612 19.2048 637.563
8.71546 115.301 19.3877 630.395
7.73466 116.464 19.5706 636.752
8.714 115.672 19.7535 632.42
8.59379 115.972 19.9364 634.065
8.34193 116.409 20.1193 636.451
8.67858 116.255 20.3022 635.611
9.53764 115.582 20.4851 631.932
9.21714 116.09 20.668 634.707
8.58435 116.897 20.8509 639.122
8.37661 117.29 21.0338 641.268
9.13985 116.713 21.2167 638.114
9.35272 116.681 21.3996 637.942
9.53171 116.687 21.5825 637.97
9.24355 117.159 21.7654 640.553
9.41379 117.17 21.9483 640.611
10.3581 116.41 22.1313 636.458
10.3811 116.572 22.3142 637.344
10.2638 116.875 22.4971 638.998
10.6486 116.669 22.68 637.874
10.3234 117.182 22.8629 640.679
10.5318 117.157 23.0458 640.541
10.7996 117.068 23.2287 640.054
10.1016 117.95 23.4116 644.879
11.034 117.204 23.5945 640.798
10.6079 117.814 23.7774 644.135
11.4065 117.2 23.9603 640.775
11.1133 117.677 24.1432 643.383
11.1032 117.869 24.3261 644.436
11.1409 118.016 24.509 645.238
10.8455 118.491 24.6919 647.836
11.3312 118.187 24.8748 646.175
11.7825 117.925 25.0577 644.741
11.651 118.237 25.2406 646.448
11.8723 118.201 25.4235 646.248
12.2041 118.057 25.6064 645.463
13.112 117.329 25.7893 641.482
12.7987 117.826 25.9722 644.201
11.4703 119.335 26.1551 652.452
12.3758 118.613 26.338 648.504
11.9034 119.265 26.5209 652.065
12.6487 118.708 26.7038 649.021
12.3745 119.167 26.8867 651.531
12.9459 118.78 27.0696 649.417
12.7514 119.156 27.2525 651.469
13.0629 119.029 27.4354 650.776
13.3679 118.908 27.6183 650.117
12.3133 120.143 27.8012 656.866
14.2822 118.362 27.9841 647.132
13.7114 119.115 28.167 651.249
13.7417 119.265 28.3499 652.065
14.2399 118.956 28.5329 650.38
14.2069 119.173 28.7158 651.564
13.7297 119.832 28.8987 655.167
12.9422 120.8 29.0816 660.457
14.003 119.928 29.2645 655.692
13.887 120.224 29.4474 657.313
15.2968 119.002 29.6303 650.627
14.7743 119.701 29.8132 654.454
14.7264 119.934 29.9961 655.727
15.6183 119.227 30.179 651.859
14.2132 120.81 30.3619 660.513
15.9704 119.241 30.5448 651.938
14.4493 120.944 30.7277 661.246
14.9571 120.618 30.9106 659.465
15.6536 120.106 31.0935 656.667
15.0166 120.924 31.2764 661.135
16.1106 120.017 31.4593 656.179
15.9994 120.316 31.6422 657.812
16.2716 120.227 31.8251 657.327
16.3202 120.358 32.008 658.041
16.0238 120.835 32.1909 660.652
16.9013 120.151 32.3738 656.909
16.1604 121.066 32.5567 661.912
16.403 121.009 32.7396 661.604
16.9942 120.606 32.9225 659.398
16.3923 121.383 33.1054 663.648
18.1781 119.79 33.2883 654.938
17.5945 120.554 33.4712 659.117
16.7049 121.622 33.6541 664.954
17.388 121.127 33.837 662.25
17.7138 120.984 34.0199 661.464
18.0586 120.822 34.2028 660.58
17.6558 121.411 34.3857 663.798
17.7454 121.502 34.5686 664.296
17.3431 122.086 34.7516 667.493
17.538 122.077 34.9345 667.443
19.0015 120.799 35.1174 660.453
18.8398 121.145 35.3003 662.344
19.1101 121.058 35.4832 661.873
18.503 121.842 35.6661 666.157
19.2604 121.278 35.849 663.072
18.5185 122.197 36.0319 668.1
18.0816 122.815 36.2148 671.476
18.1616 122.915 36.3977 672.025
18.7798 122.488 36.5806 669.686
18.3537 123.094 36.7635 673
19.6981 121.938 36.9464 666.68
18.8458 122.971 37.1293 672.328
19.7664 122.235 37.3122 668.306
18.6487 123.533 37.4951 675.4
19.5108 122.858 37.678 671.711
20.2443 122.304 37.8609 668.685
21.6479 121.092 38.0438 662.056
20.3425 122.579 38.2267 670.185
19.647 123.453 38.4096 674.962
19.3423 123.94 38.5925 677.628
20.0971 123.37 38.7754 674.509
20.9289 122.723 38.9583 670.976
20.1107 123.723 39.1412 676.44
20.0264 123.989 39.3241 677.898
19.8074 124.393 39.507 680.106
19.9528 124.431 39.6899 680.314
20.4341 124.133 39.8728 678.685
19.8471 124.901 40.0557 682.88
20.9597 123.977 40.2386 677.828
21.6197 123.505 40.4215 675.247
22.1724 123.133 40.6044 673.216
22.2198 123.27 40.7873 673.962
21.047 124.617 40.9702 681.33
22.188 123.664 41.1532 676.12
22.2356 123.801 41.3361 676.868
22.62 123.604 41.519 675.792
21.5968 124.805 41.7019 682.355
22.8284 123.758 41.8848 676.634
22.3424 124.428 42.0677 680.294
22.8535 124.101 42.2506 678.51
22.3818 124.755 42.4335 682.084
22.9154 124.412 42.6164 680.21
23.4473 124.059 42.7993 678.28
23.2918 124.401 42.9822 680.148
22.2812 125.59 43.1651 686.651
23.0861 124.967 43.348 683.243
22.5023 125.733 43.5309 687.428
23.607 124.818 43.7138 682.429
23.1729 125.433 43.8967 685.792
23.6205 125.176 44.0796 684.385
23.0478 125.927 44.2625 688.49
24.1937 124.966 44.4454 683.238
23.7405 125.598 44.6283 686.694
24.342 125.184 44.8112 684.427
23.2762 126.426 44.9941 691.221
23.3663 126.522 45.177 691.744
24.8174 125.258 45.3599 684.832
