#E_pot E_kin E_opt Temperature
-116.154 1663.51 0 609.147
-58.5487 1618.01 5.46175 592.489
-45.4922 1610.92 10.9235 589.89
-94.7314 1660.57 16.3853 608.072
-34.1744 1611.47 21.847 590.092
-65.5643 1644.27 27.3088 602.104
-52.6674 1638.55 32.7705 600.009
-45.4578 1636.63 38.2323 599.306
-41.966 1639.39 43.694 600.316
-53.2067 1654.84 49.1558 605.975
-33.6261 1642.12 54.6175 601.316
-32.7232 1646.96 60.0793 603.087
-46.6218 1664.5 65.541 609.512
-12.1147 1638.81 71.0028 600.105
-40.6526 1669.66 76.4645 611.399
-20.9261 1657.45 81.9263 606.93
-15.8526 1657.89 87.388 607.091
-24.5571 1670.8 92.8498 611.819
-7.4294 1660.78 98.3115 608.15
-17.6318 1675.13 103.773 613.404
-5.22066 1669.08 109.235 611.187
-8.02982 1676.85 114.697 614.035
2.24382 1672.86 120.159 612.571
1.52978 1678.79 125.62 614.742
5.462 1680.54 131.082 615.386
11.8204 1679.95 136.544 615.169
5.46249 1691.12 142.006 619.259
20.7946 1682.57 147.467 616.129
10.897 1696.68 152.929 621.296
26.2516 1688.35 158.391 618.244
21.4448 1697.72 163.853 621.677
21.3229 1703.29 169.314 623.714
35.064 1695.98 174.776 621.039
27.5994 1707.82 180.238 625.373
40.811 1701.35 185.7 623.005
37.5686 1709.54 191.161 626.003
43.0872 1709.88 196.623 626.127
47.8435 1710.39 202.085 626.316
48.9997 1714.78 207.547 627.924
53.9065 1715.66 213.008 628.243
51.9862 1722.73 218.47 630.834
62.9949 1717.76 223.932 629.014
64.8356 1721.4 229.394 630.347
65.0655 1726.62 234.855 632.257
72.2002 1725.24 240.317 631.753
71.0651 1731.58 245.779 634.074
78.6062 1730.22 251.241 633.578
77.6838 1736.15 256.702 635.749
83.0512 1736.71 262.164 635.954
89.7071 1735.44 267.626 635.489
86.3552 1743.83 273.088 638.559
94.0382 1742.3 278.549 638
98.7113 1742.78 284.011 638.176
98.1357 1749 289.473 640.454
