#E_pot E_kin E_opt Temperature
-0.38063 392.151 0 596.856
-2.10126 390.946 0.657029 595.021
-2.34658 391.835 1.31406 596.374
-1.35278 391.536 1.97109 595.919
-1.40659 392.202 2.62811 596.932
-1.65219 393.131 3.28514 598.347
-0.155835 392.5 3.94217 597.387
-0.131458 393.107 4.5992 598.31
1.23371 392.463 5.25623 597.331
0.321344 394.091 5.91326 599.807
1.02127 394.073 6.57029 599.78
2.80286 393.009 7.22731 598.161
1.91182 394.569 7.88434 600.536
2.2137 394.811 8.54137 600.904
2.81117 395.001 9.1984 601.193
2.60838 395.786 9.85543 602.388
3.52809 395.601 10.5125 602.106
4.42638 395.364 11.1695 601.746
4.78422 395.634 11.8265 602.156
4.7658 396.378 12.4835 603.288
5.28351 396.503 13.1406 603.478
5.49096 396.971 13.7976 604.192
5.10307 397.994 14.4546 605.748
6.12511 397.71 15.1117 605.317
6.77505 397.717 15.7687 605.327
7.31657 397.794 16.4257 605.444
7.0975 398.701 17.0827 606.824
8.14451 398.297 17.7398 606.21
7.80426 399.218 18.3968 607.612
7.67552 400.024 19.0538 608.837
8.44702 399.947 19.7109 608.72
7.67346 401.374 20.3679 610.892
8.82861 400.933 21.0249 610.221
9.17633 401.225 21.6819 610.665
10.5921 400.576 22.339 609.678
9.6976 402.145 22.996 612.067
11.3175 401.314 23.653 610.802
11.3949 401.883 24.3101 611.667
11.2132 402.654 24.9671 612.84
11.2152 403.32 25.6241 613.854
12.3632 403.005 26.2811 613.376
11.602 404.379 26.9382 615.467
13.1893 403.445 27.5952 614.045
13.6268 403.786 28.2522 614.564
14.7273 403.4 28.9093 613.976
14.0763 404.661 29.5663 615.895
15.4473 404.064 30.2233 614.986
14.854 405.282 30.8803 616.841
17.6355 403.197 31.5374 613.667
15.8349 405.571 32.1944 617.281
17.3896 404.837 32.8514 616.163
17.5533 405.298 33.5085 616.864
17.7483 405.83 34.1655 617.675
17.5228 406.724 34.8225 619.036
18.6045 406.426 35.4795 618.582
19.1133 406.553 36.1366 618.776
19.6424 406.687 36.7936 618.98
19.8966 407.071 37.4506 619.564
19.8867 407.783 38.1077 620.647
20.2592 408.167 38.7647 621.232
19.8516 409.093 39.4217 622.642
20.3436 409.278 40.0787 622.923
21.3727 408.942 40.7358 622.412
22.6857 408.26 41.3928 621.373
22.848 408.902 42.0498 622.351
21.7301 410.596 42.7069 624.928
23.336 409.763 43.3639 623.661
23.2736 410.355 44.0209 624.563
23.0636 411.316 44.6779 626.024
23.432 411.633 45.335 626.507
23.7269 411.967 45.992 627.015
24.5724 411.941 46.649 626.975
25.783 411.502 47.3061 626.307
23.8675 413.955 47.9631 630.041
25.98 412.568 48.6201 627.93
26.1236 412.967 49.2771 628.538
26.261 413.636 49.9342 629.555
26.6745 413.959 50.5912 630.048
27.0645 414.161 51.2482 630.355
27.3367 414.584 51.9053 630.999
28.5227 414.052 52.5623 630.189
29.3486 413.985 53.2193 630.086
29.2907 414.747 53.8763 631.246
29.7217 414.9 54.5334 631.479
30.9312 414.381 55.1904 630.689
30.0379 415.851 55.8474 632.927
30.7316 415.826 56.5045 632.888
30.506 416.701 57.1615 634.221
31.6123 416.257 57.8185 633.544
32.5038 415.975 58.4755 633.116
31.8966 417.236 59.1326 635.035
33.2841 416.573 59.7896 634.026
33.5608 416.946 60.4466 634.594
33.8564 417.242 61.1037 635.043
35.1277 416.731 61.7607 634.267
35.0049 417.462 62.4177 635.379
34.4587 418.617 63.0747 637.137
36.1307 417.632 63.7318 635.637
36.1627 418.314 64.3888 636.676
36.0063 419.167 65.0458 637.974
36.3604 419.54 65.7029 638.541
35.9927 420.54 66.3599 640.064
37.525 419.65 67.0169 638.71
37.2046 420.623 67.6739 640.19
37.827 420.731 68.331 640.354
38.415 420.832 68.988 640.507
38.4492 421.475 69.645 641.486
38.4224 422.116 70.3021 642.462
38.7483 422.436 70.9591 642.949
38.8235 422.983 71.6161 643.782
41.2145 421.406 72.2731 641.381
41.2406 422.111 72.9302 642.454
41.702 422.383 73.5872 642.868
40.6288 424.174 74.2442 645.594
41.4601 424.092 74.9013 645.47
42.009 424.231 75.5583 645.681
43.0515 423.771 76.2153 644.981
43.609 423.97 76.8723 645.284
43.5556 424.719 77.5294 646.424
43.0418 425.951 78.1864 648.299
43.2467 426.431 78.8434 649.03
44.7048 425.558 79.5005 647.701
44.3687 426.478 80.1575 649.102
44.7626 426.734 80.8145 649.491
44.9166 427.276 81.4715 650.316
46.3007 426.573 82.1286 649.245
45.9899 427.522 82.7856 650.69
46.9312 427.299 83.4426 650.35
47.2203 427.764 84.0997 651.058
46.5376 429.052 84.7567 653.019
47.9018 428.402 85.4137 652.029
47.6756 429.34 86.0707 653.457
49.1238 428.613 86.7278 652.351
49.9328 428.437 87.3848 652.083
50.5397 428.5 88.0418 652.179
50.3397 429.402 88.6989 653.552
51.1463 429.34 89.3559 653.458
51.1854 429.963 90.0129 654.405
51.6274 430.309 90.6699 654.932
53.5592 428.974 91.327 652.9
52.5803 430.592 91.984 655.363
52.996 430.751 92.641 655.605
53.5733 431.128 93.2981 656.179
52.897 432.399 93.9551 658.112
54.1106 431.965 94.6121 657.452
54.3506 432.383 95.2691 658.089
54.563 432.811 95.9262 658.74
56.6528 431.447 96.5832 656.663
56.1122 432.667 97.2402 658.521
56.0988 433.323 97.8973 659.519
56.4339 433.743 98.5543 660.158
57.1778 433.685 99.2113 660.07
57.1515 434.378 99.8683 661.125
57.1182 435.085 100.525 662.201
56.2106 436.607 101.182 664.518
58.9379 434.634 101.839 661.515
57.8003 436.257 102.496 663.984
58.9857 435.887 103.153 663.421
58.9504 436.574 103.811 664.468
60.2414 435.956 104.468 663.527
60.5491 436.441 105.125 664.264
60.8471 436.905 105.782 664.971
60.2981 437.991 106.439 666.625
61.1827 437.799 107.096 666.331
62.3338 437.364 107.753 665.67
61.7725 438.614 108.41 667.572
63.2911 437.76 109.067 666.272
63.4058 438.419 109.724 667.276
62.9824 439.365 110.381 668.715
62.9242 440.148 111.038 669.907
64.0109 439.631 111.695 669.12
65.0813 439.197 112.352 668.46
66.2214 438.876 113.009 667.97
65.7454 440.001 113.666 669.684
67.3468 439.045 114.323 668.229
67.4964 439.543 114.98 668.987
67.2747 440.361 115.637 670.231
68.1989 440.091 116.294 669.82
68.5005 440.52 116.951 670.473
69.2156 440.473 117.608 670.402
68.9085 441.52 118.265 671.995
68.7903 442.201 118.922 673.032
68.8374 442.793 119.579 673.932
68.7755 443.636 120.236 675.215
70.6437 442.505 120.893 673.494
70.1734 443.614 121.55 675.182
71.9951 442.433 122.207 673.385
71.7782 443.351 122.864 674.782
71.2412 444.428 123.521 676.421
71.8224 444.591 124.178 676.669
73.2756 443.847 124.835 675.536
73.4392 444.235 125.492 676.128
73.8203 444.55 126.149 676.607
75.0151 444.017 126.807 675.796
74.2962 445.368 127.464 677.851
74.9874 445.404 128.121 677.907
73.9922 447.195 128.778 680.632
74.0914 447.688 129.435 681.383
76.5211 446.045 130.092 678.883
76.9905 446.239 130.749 679.178
78.0074 445.968 131.406 678.766
78.0941 446.526 132.063 679.615
78.7078 446.569 132.72 679.679
79.3061 446.579 133.377 679.695
80.2456 446.303 134.034 679.275
79.9867 447.305 134.691 680.8
79.9205 448.019 135.348 681.886
80.4986 448.156 136.005 682.095
80.9091 448.445 136.662 682.534
81.0621 448.969 137.319 683.333
82.1523 448.666 137.976 682.871
82.3016 449.197 138.633 683.68
83.7844 448.528 139.29 682.661
82.902 450.03 139.947 684.948
83.9062 449.834 140.604 684.648
83.7302 450.615 141.261 685.838
84.1565 450.895 141.918 686.264
83.7695 451.867 142.575 687.744
84.8666 451.488 143.232 687.166
85.8442 451.169 143.889 686.681
86.8995 450.763 144.546 686.063
86.8429 451.549 145.203 687.26
86.2784 452.803 145.86 689.168
86.7728 452.993 146.517 689.457
88.03 452.44 147.174 688.615
88.1789 452.973 147.831 689.427
86.7612 455.038 148.488 692.569
90.8824 451.543 149.145 687.25
88.3466 454.766 149.803 692.155
87.5338 456.25 150.46 694.414
88.3472 456.089 151.117 694.169
90.7201 454.45 151.774 691.675
89.9258 455.929 152.431 693.926
91.2862 455.328 153.088 693.011
92.2357 455.037 153.745 692.567
91.1575 456.78 154.402 695.22
92.0292 456.611 155.059 694.964
91.2142 457.953 155.716 697.006
93.1193 456.687 156.373 695.079
94.0824 456.439 157.03 694.701
94.3898 456.763 157.687 695.195
95.1876 456.852 158.344 695.331
95.0576 457.637 159.001 696.525
95.8588 457.492 159.658 696.304
95.1424 458.858 160.315 698.384
95.7612 458.898 160.972 698.444
95.1911 460.11 161.629 700.289
97.7065 458.236 162.286 697.436
97.0883 459.48 162.943 699.33
97.0886 460.222 163.6 700.46
97.9211 460.07 164.257 700.228
98.9735 459.673 164.914 699.624
99.1808 460.101 165.571 700.276
98.8392 461.135 166.228 701.849
99.7676 460.845 166.885 701.408
99.6882 461.571 167.542 702.512
99.4349 462.556 168.199 704.012
99.489 463.116 168.856 704.864
101.975 461.275 169.513 702.062
101.43 462.458 170.17 703.863
101.437 463.177 170.827 704.957
101.997 463.264 171.484 705.089
102.722 463.213 172.141 705.012
103.348 463.15 172.799 704.915
103.092 464.064 173.456 706.308
104.337 463.569 174.113 705.554
105.206 463.368 174.77 705.248
105.846 463.44 175.427 705.358
105.663 464.355 176.084 706.751
106.353 464.345 176.741 706.735
106.95 464.42 177.398 706.849
105.663 466.231 178.055 709.606
107.441 465.234 178.712 708.087
107.335 466.012 179.369 709.272
108.345 465.673 180.026 708.756
109.794 464.99 180.683 707.717
108.666 466.678 181.34 710.285
110.333 465.674 181.997 708.758
110.997 465.718 182.654 708.824
112.686 464.661 183.311 707.215
110.958 467.235 183.968 711.134
112.003 466.777 184.625 710.436
112.608 466.838 185.282 710.529
112.02 467.918 185.939 712.173
113.789 467.005 186.596 710.784
112.682 468.727 187.253 713.404
113.886 468.163 187.91 712.545
113.425 469.281 188.567 714.247
113.97 469.437 189.224 714.485
115.912 468.203 189.881 712.607
115.456 469.4 190.538 714.429
116.989 468.55 191.195 713.135
116.171 470.083 191.852 715.469
117.905 469.167 192.509 714.073
117.815 469.904 193.166 715.196
116.769 471.563 193.823 717.72
120.201 468.886 194.48 713.646
118.381 471.238 195.137 717.226
120.011 470.384 195.795 715.926
118.946 472.106 196.452 718.547
119.076 472.623 197.109 719.334
119.47 473.004 197.766 719.914
119.419 473.696 198.423 720.968
122.062 471.748 199.08 718.003
122.903 471.558 199.737 717.713
122.943 472.147 200.394 718.609
124.273 471.538 201.051 717.683
123.008 473.426 201.708 720.555
123.024 474.126 202.365 721.622
123.884 473.967 203.022 721.38
124.13 474.384 203.679 722.014
124.488 474.679 204.336 722.464
124.522 475.405 204.993 723.568
123.391 477.115 205.65 726.17
125.019 476.071 206.307 724.581
127.159 474.675 206.964 722.456
128.275 474.288 207.621 721.868
127.233 475.895 208.278 724.314
128.122 475.785 208.935 724.146
128.195 476.457 209.592 725.169
128.692 476.527 210.249 725.276
130.813 475.203 210.906 723.261
128.037 478.684 211.563 728.559
129.857 477.571 212.22 726.865
130.511 477.63 212.877 726.955
129.421 479.408 213.534 729.661
130.189 479.254 214.191 729.426
130.931 479.17 214.848 729.299
129.832 481.013 215.505 732.103
131.462 480.104 216.162 730.72
132.519 479.731 216.819 730.153
134.614 478.392 217.476 728.115
132.845 480.766 218.133 731.728
135.126 479.251 218.791 729.422
136.49 478.644 219.448 728.498
136.237 479.487 220.105 729.781
136.549 479.735 220.762 730.159
136.399 480.538 221.419 731.38
137.368 480.224 222.076 730.902
138.951 479.337 222.733 729.552
138.325 480.626 223.39 731.515
137.25 482.518 224.047 734.395
137.499 482.902 224.704 734.979
142.501 478.787 225.361 728.715
142.651 479.298 226.018 729.493
142.248 480.517 226.675 731.349
141.739 481.488 227.332 732.826
142.071 481.911 227.989 733.471
141.723 482.871 228.646 734.932
141.83 483.401 229.303 735.738
143.473 482.406 229.96 734.224
143.672 483.011 230.617 735.144
141.947 485.455 231.274 738.865
144.505 483.607 231.931 736.051
144.781 483.944 232.588 736.565
144.304 485.079 233.245 738.293
144.522 485.674 233.902 739.198
146.294 484.567 234.559 737.513
145.426 486.157 235.216 739.933
146.9 485.314 235.873 738.65
147.27 485.585 236.53 739.062
147.897 485.618 237.187 739.112
146.915 487.379 237.844 741.793
150.539 484.485 238.501 737.388
148.734 486.88 239.158 741.034
149.002 487.406 239.815 741.834
148.817 488.277 240.472 743.16
152.368 485.495 241.129 738.926
151.425 487.042 241.787 741.28
152.201 486.904 242.444 741.069
154.876 485.012 243.101 738.191
150.673 489.861 243.758 745.57
152.54 488.673 244.415 743.763
152.071 489.939 245.072 745.688
153.872 488.811 245.729 743.972
154.224 489.012 246.386 744.279
154.616 489.216 247.043 744.588
155.632 488.941 247.7 744.17
156.52 488.607 248.357 743.661
157.699 488.237 249.014 743.099
158.73 487.936 249.671 742.64
156.953 490.377 250.328 746.356
158.592 489.32 250.985 744.748
160.779 487.854 251.642 742.516
158.582 490.648 252.299 746.769
159.734 490.24 252.956 746.147
159.681 491.05 253.613 747.38
161.36 489.987 254.27 745.762
161.539 490.629 254.927 746.738
159.325 493.356 255.584 750.889
160.465 492.928 256.241 750.238
162.418 491.659 256.898 748.307
161.813 492.972 257.555 750.305
163.06 492.436 258.212 749.49
164.077 492.033 258.869 748.876
162.359 494.356 259.526 752.412
164.157 493.207 260.183 750.663
164.154 493.96 260.84 751.81
164.994 493.787 261.497 751.545
166.029 493.401 262.154 750.958
164.768 495.318 262.811 753.875
165.939 494.777 263.468 753.053
164.915 496.545 264.125 755.744
164.301 497.84 264.783 757.715
165.512 497.355 265.44 756.976
164.935 498.577 266.097 758.836
166.538 497.736 266.754 757.556
166.69 498.244 267.411 758.329
167.471 498.144 268.068 758.178
169.623 496.605 268.725 755.835
172.285 494.66 269.382 752.874
170.388 497.252 270.039 756.819
174.053 494.322 270.696 752.36
172.697 496.304 271.353 755.377
172.117 497.48 272.01 757.166
173.843 496.524 272.667 755.711
172.406 498.467 273.324 758.668
174.896 496.669 273.981 755.932
174.194 498.091 274.638 758.097
176.118 496.81 275.295 756.147
176.107 497.49 275.952 757.182
178.839 495.507 276.609 754.163
178.107 496.955 277.266 756.367
178.272 497.362 277.923 756.987
179.984 496.477 278.58 755.64
179.886 497.206 279.237 756.75
177.381 500.37 279.894 761.565
177.842 500.666 280.551 762.016
180.007 499.241 281.208 759.846
181.711 498.217 281.865 758.289
182.721 497.926 282.522 757.845
181.797 499.547 283.179 760.312
184.074 497.921 283.836 757.837
181.718 500.934 284.493 762.424
182.563 500.749 285.15 762.142
184.349 499.65 285.807 760.47
186.162 498.609 286.464 758.886
185.776 499.656 287.121 760.479
188.094 497.894 287.779 757.796
190.941 495.669 288.436 754.41
189.474 497.742 289.093 757.566
189.903 498.061 289.75 758.05
189.84 498.785 290.407 759.153
190.159 499.131 291.064 759.679
191.967 498.089 291.721 758.093
192.683 498.103 292.378 758.115
192.21 499.09 293.035 759.616
193.899 498.133 293.692 758.16
191.808 500.881 294.349 762.343
190.178 503.207 295.006 765.883
194.703 499.378 295.663 760.056
196.217 498.4 296.32 758.567
198.322 496.873 296.977 756.242
197.537 498.326 297.634 758.454
199.707 496.766 298.291 756.079
200.161 496.964 298.948 756.381
199.83 497.998 299.605 757.955
202.194 496.307 300.262 755.381
202.216 496.926 300.919 756.323
200.195 499.723 301.576 760.581
203.429 497.197 302.233 756.736
204.917 496.44 302.89 755.584
207.713 494.333 303.547 752.377
208.223 494.569 304.204 752.736
204.359 499.005 304.861 759.488
206.926 497.155 305.518 756.671
207.874 496.953 306.175 756.364
206.318 499.224 306.832 759.821
206.124 500.09 307.489 761.139
205.633 501.209 308.146 762.841
208.478 499.103 308.803 759.637
208.419 499.824 309.46 760.733
209.984 498.972 310.117 759.437
209.997 499.641 310.775 760.456
213.054 497.281 311.432 756.863
210.028 500.976 312.089 762.487
209.484 502.213 312.746 764.37
210.005 502.308 313.403 764.514
212.647 500.315 314.06 761.482
211.401 502.199 314.717 764.349
213.045 501.322 315.374 763.014
217.097 498.062 316.031 758.052
216.365 499.362 316.688 760.031
218.438 498.003 317.345 757.962
218.073 499.053 318.002 759.561
216.209 501.494 318.659 763.275
217.664 500.695 319.316 762.059
216.565 502.533 319.973 764.857
216.78 502.853 320.63 765.344
222.374 498.104 321.287 758.117
222.529 498.717 321.944 759.049
222.181 499.676 322.601 760.508
225.052 497.519 323.258 757.226
226.066 497.262 323.915 756.835
225.942 497.999 324.572 757.957
225.889 498.702 325.229 759.026
225.925 499.32 325.886 759.968
222.948 502.94 326.543 765.476
222.545 503.982 327.2 767.063
222.974 504.197 327.857 767.39
222.91 505 328.514 768.612
221.875 506.699 329.171 771.198
222.36 506.895 329.828 771.497
225.96 503.996 330.485 767.084
225.877 504.857 331.142 768.394
229.846 501.591 331.799 763.423
228.948 503.224 332.456 765.909
227.681 505.059 333.113 768.702
231.234 502.349 333.771 764.577
228.865 505.336 334.428 769.123
232.035 502.881 335.085 765.387
228.926 506.595 335.742 771.04
232.085 504.153 336.399 767.323
232.975 504.037 337.056 767.147
230.275 507.458 337.713 772.353
231.325 507.151 338.37 771.885
232.787 506.396 339.027 770.737
229.223 510.649 339.684 777.209
232.883 507.617 340.341 772.595
233.838 507.37 340.998 772.219
232.913 509.05 341.655 774.776
232.9 509.747 342.312 775.836
234.517 508.741 342.969 774.306
239.74 504.33 343.626 767.592
240.776 503.961 344.283 767.031
238.691 506.687 344.94 771.179
238.763 507.177 345.597 771.925
239.289 507.382 346.254 772.238
240.738 506.662 346.911 771.141
238.908 509.107 347.568 774.863
239.803 509.003 348.225 774.704
239.666 509.754 348.882 775.848
243.713 506.412 349.539 770.761
244.952 505.83 350.196 769.875
245.974 505.502 350.853 769.376
245.877 506.275 351.51 770.553
244.973 507.875 352.167 772.988
244.626 508.908 352.824 774.559
245.539 508.685 353.481 774.22
247.336 507.529 354.138 772.461
248.494 506.974 354.795 771.616
247.804 508.335 355.452 773.687
