#E_pot E_kin E_opt Temperature
-73015.2 1907.15 0 596.4
35.6558 1887.92 6.39553 590.388
-26.7528 1950.32 12.7911 609.901
63.2431 1875.25 19.1866 586.427
-11.1831 1948.42 25.5821 609.307
38.7838 1909.86 31.9776 597.247
32.9135 1920.42 38.3732 600.551
31.2093 1928.74 44.7687 603.154
34.197 1932.19 51.1642 604.231
49.9522 1924.31 57.5597 601.768
28.0042 1950.07 63.9553 609.825
65.0589 1922.69 70.3508 601.262
41.5297 1950.14 76.7463 609.845
53.2934 1945.41 83.1418 608.365
72.2374 1934.23 89.5374 604.871
46.9954 1963.49 95.9329 614.021
82.8277 1937.24 102.328 605.811
59.0627 1964.63 108.724 614.375
80.1372 1952.09 115.119 610.456
77.7947 1960.38 121.515 613.046
77.2029 1967.15 127.911 615.165
89.6345 1962 134.306 613.555
87.1873 1970.19 140.702 616.116
94.4115 1969.98 147.097 616.05
93.7706 1976.54 153.493 618.102
98.9251 1977.93 159.888 618.535
109.267 1974.9 166.284 617.589
101.025 1988.74 172.679 621.917
114.042 1982.82 179.075 620.065
115.532 1987.73 185.47 621.599
116.796 1992.84 191.866 623.199
127.327 1989.39 198.261 622.119
125.614 1997.24 204.657 624.574
131.987 1997.46 211.052 624.642
136.671 1999.49 217.448 625.279
135.496 2006.69 223.843 627.528
148.452 2001.46 230.239 625.895
142.415 2012.62 236.634 629.383
152.351 2009.83 243.03 628.51
155.895 2013.03 249.426 629.513
154.326 2020.39 255.821 631.815
166.807 2015.29 262.217 630.219
161.599 2026.4 268.612 633.693
166.255 2028.36 275.008 634.307
172.844 2028.54 281.403 634.363
176.577 2031.34 287.799 635.238
178.977 2035.42 294.194 636.513
187.174 2033.83 300.59 636.016
186.283 2041.07 306.985 638.281
194.17 2039.91 313.381 637.917
195.28 2045 319.776 639.508
196.795 2049.83 326.172 641.019
203.082 2050.39 332.567 641.195
206.375 2053.16 338.963 642.06
212.31 2054.04 345.358 642.337
211.62 2060.72 351.754 644.424
217.552 2061.71 358.149 644.736
220.182 2065.49 364.545 645.916
224.162 2068.07 370.941 646.723
231.108 2067.96 377.336 646.691
232.27 2072.94 383.732 648.246
239.643 2072.24 390.127 648.029
238.638 2079.35 396.523 650.253
244.952 2079.96 402.918 650.443
243.964 2087 409.314 652.644
252.727 2085.11 415.709 652.053
254.007 2090.09 422.105 653.61
256.685 2093.76 428.5 654.757
268.639 2089.01 434.896 653.273
265.423 2098.41 441.291 656.211
268.722 2101.41 447.687 657.151
279.889 2097.36 454.082 655.882
275.07 2107.99 460.478 659.206
283.433 2106.45 466.873 658.725
