#E_pot E_kin E_opt Temperature
18.1792 631.126 0 594.208
21.2367 630.486 2.12426 593.606
18.2495 635.141 4.24852 597.988
18.3719 636.892 6.37278 599.637
20.9573 636.619 8.49704 599.379
22.2903 637.489 10.6213 600.199
24.7842 637.194 12.7456 599.921
24.1084 639.979 14.8698 602.544
26.068 640.181 16.9941 602.734
29.0596 639.46 19.1183 602.055
29.4397 641.055 21.2426 603.557
29.0176 643.56 23.3668 605.915
31.9628 642.732 25.4911 605.135
31.6328 645.201 27.6154 607.46
33.1892 645.845 29.7396 608.066
33.8621 647.308 31.8639 609.444
35.5584 647.793 33.9881 609.9
37.7246 647.836 36.1124 609.941
38.415 649.291 38.2367 611.311
41.4161 648.594 40.3609 610.655
42.0358 650.245 42.4852 612.209
41.6823 652.565 44.6094 614.393
42.9829 653.493 46.7337 615.267
44.602 654.102 48.858 615.841
45.8697 654.879 50.9822 616.572
45.97 656.954 53.1065 618.525
49.6495 655.681 55.2307 617.326
52.0665 655.58 57.355 617.232
51.8548 657.868 59.4792 619.386
51.6806 659.989 61.6035 621.383
52.5146 661.27 63.7278 622.589
56.3242 659.857 65.852 621.259
58.097 660.371 67.9763 621.743
57.6356 662.932 70.1005 624.154
56.5288 665.911 72.2248 626.958
59.1314 665.596 74.3491 626.662
63.3169 663.849 76.4733 625.017
67.0216 662.421 78.5976 623.673
63.4748 667.958 80.7218 628.885
62.6752 670.515 82.8461 631.293
60.4914 674.721 84.9704 635.253
68.5255 669.325 87.0946 630.173
73.7792 666.706 89.2189 627.707
71.5576 670.881 91.3431 631.638
71.8052 672.56 93.4674 633.218
73.2796 673.274 95.5916 633.891
73.6648 675.016 97.7159 635.531
72.6562 677.948 99.8402 638.292
73.2554 679.359 101.964 639.62
79.6012 675.634 104.089 636.113
81.9023 675.744 106.213 636.217
82.1087 677.522 108.337 637.89
81.0903 680.458 110.461 640.655
82.4263 681.23 112.586 641.381
83.1884 682.701 114.71 642.766
86.9709 681.328 116.834 641.473
87.6448 682.843 118.958 642.9
87.4462 685.202 121.083 645.121
89.608 685.155 123.207 645.077
90.1844 686.55 125.331 646.39
89.7906 689.198 127.456 648.883
94.9908 686.373 129.58 646.224
95.0289 688.567 131.704 648.289
94.2901 691.246 133.828 650.812
97.8683 690.031 135.953 649.667
101.185 689.056 138.077 648.749
102.212 690.274 140.201 649.897
101.633 692.805 142.325 652.279
100.613 695.787 144.45 655.087
102.26 696.404 146.574 655.667
104.897 695.863 148.698 655.158
103.459 699.425 150.822 658.512
107.202 697.932 152.947 657.106
110.616 697.113 155.071 656.336
111.928 697.996 157.195 657.167
112.115 699.75 159.319 658.818
111.825 702.268 161.444 661.189
115.303 701.008 163.568 660.002
118.712 700.005 165.692 659.058
117.532 703.214 167.816 662.079
116.275 706.305 169.941 664.99
118.591 706.171 172.065 664.863
122.755 704.49 174.189 663.281
125.424 704.14 176.313 662.951
123.497 707.878 178.438 666.471
122.941 710.44 180.562 668.882
124.603 711.24 182.686 669.636
