#E_pot E_kin E_opt Temperature
12.3032 71.6277 16.5837 600.365
12.1841 71.8683 16.703 602.381
12.1527 72.0137 16.8223 603.6
12.5559 71.7373 16.9416 601.283
12.46 71.9497 17.0609 603.064
12.1958 72.3346 17.1802 606.29
12.4026 72.2461 17.2995 605.548
12.0455 72.7234 17.4188 609.549
12.894 71.9965 17.5381 603.456
12.8951 72.1137 17.6574 604.438
12.2747 72.8518 17.7767 610.625
13.2114 72.0392 17.896 603.814
12.6176 72.7502 18.0154 609.773
12.4989 72.9848 18.1347 611.74
12.9391 72.6673 18.254 609.078
12.7447 72.9793 18.3733 611.693
13.2236 72.6219 18.4926 608.698
13.2425 72.7226 18.6119 609.542
12.9773 73.1094 18.7312 612.784
13.0849 73.12 18.8505 612.873
13.794 72.5326 18.9698 607.95
13.5837 72.857 19.0891 610.668
14.1833 72.3836 19.2084 606.7
13.8085 72.8742 19.3277 610.812
13.8039 73.0006 19.447 611.872
14.3099 72.6165 19.5663 608.653
14.2285 72.8166 19.6857 610.33
14.902 72.2634 19.805 605.693
14.5933 72.6895 19.9243 609.265
14.5668 72.8365 20.0436 610.497
15.0343 72.4914 20.1629 607.604
14.2658 73.3763 20.2822 615.021
14.8308 72.9308 20.4015 611.287
15.0008 72.8835 20.5208 610.89
15.3089 72.6944 20.6401 609.305
14.63 73.4915 20.7594 615.986
15.3641 72.8775 20.8787 610.84
14.6776 73.6827 20.998 617.589
15.3421 73.1398 21.1173 613.039
14.6871 73.9091 21.2366 619.487
14.1631 74.5543 21.3559 624.895
15.4304 73.4105 21.4753 615.308
14.8551 74.1038 21.5946 621.119
15.8711 73.2096 21.7139 613.624
14.6243 74.5726 21.8332 625.048
15.044 74.2693 21.9525 622.506
16.1835 73.2547 22.0718 614.001
16.0133 73.5472 22.1911 616.453
16.0247 73.6561 22.3104 617.366
16.2073 73.5924 22.4297 616.833
15.5238 74.3925 22.549 623.538
16.0951 73.9397 22.6683 619.743
16.011 74.1448 22.7876 621.463
16.2881 73.9885 22.9069 620.152
16.4099 73.9875 23.0262 620.144
16.1923 74.3222 23.1456 622.949
16.6913 73.9445 23.2649 619.783
16.1367 74.6129 23.3842 625.386
16.9145 73.9593 23.5035 619.908
16.6025 74.3929 23.6228 623.542
16.4563 74.6568 23.7421 625.754
17.1433 74.0906 23.8614 621.008
17.0489 74.3018 23.9807 622.778
16.9618 74.5115 24.1 624.536
17.164 74.4293 24.2193 623.847
16.9282 74.7849 24.3386 626.828
16.6518 75.1786 24.4579 630.127
16.7182 75.2279 24.5772 630.541
17.1899 74.8826 24.6965 627.646
16.7532 75.438 24.8159 632.301
18.243 74.0703 24.9352 620.838
17.776 74.6555 25.0545 625.743
17.6615 74.8877 25.1738 627.689
18.4449 74.2253 25.2931 622.137
17.7865 75.0011 25.4124 628.639
18.0278 74.8819 25.5317 627.641
17.7379 75.2889 25.651 631.052
17.9217 75.229 25.7703 630.55
17.2663 76.0005 25.8896 637.016
18.6596 74.7287 26.0089 626.357
18.3678 75.1409 26.1282 629.812
18.1152 75.5144 26.2475 632.942
18.5192 75.2266 26.3668 630.53
18.2573 75.6098 26.4861 633.741
18.7988 75.1893 26.6055 630.217
17.5918 76.5131 26.7248 641.312
18.8811 75.3449 26.8441 631.521
19.4269 74.9232 26.9634 627.987
18.5229 75.9415 27.0827 636.522
18.3477 76.2366 27.202 638.995
18.7399 75.966 27.3213 636.727
18.4855 76.3373 27.4406 639.839
18.9217 76.0212 27.5599 637.19
19.0497 76.0145 27.6792 637.134
18.465 76.7159 27.7985 643.012
19.418 75.8854 27.9178 636.052
19.0801 76.3443 28.0371 639.898
19.9736 75.5716 28.1564 633.421
19.8902 75.7744 28.2758 635.121
19.3054 76.476 28.3951 641.002
19.3315 76.5665 28.5144 641.761
19.8145 76.2096 28.6337 638.769
19.4329 76.7075 28.753 642.942
19.4493 76.811 28.8723 643.81
19.5694 76.8134 28.9916 643.83
19.5217 76.9766 29.1109 645.198
20.149 76.4722 29.2302 640.97
19.9069 76.832 29.3495 643.986
19.8414 77.0149 29.4688 645.519
20.1212 76.8589 29.5881 644.211
19.7474 77.3521 29.7074 648.345
20.4519 76.768 29.8267 643.449
21.0297 76.3075 29.9461 639.589
20.151 77.3069 30.0654 647.966
20.4957 77.0829 30.1847 646.089
20.7044 76.9913 30.304 645.321
20.4416 77.3737 30.4233 648.526
20.7323 77.2067 30.5426 647.127
20.7667 77.2908 30.6619 647.831
20.5837 77.5918 30.7812 650.354
21.5621 76.7356 30.9005 643.178
21.7899 76.628 31.0198 642.276
21.3633 77.1738 31.1391 646.851
21.3849 77.2696 31.2584 647.654
21.1798 77.5965 31.3777 650.394
21.4438 77.4522 31.497 649.184
21.0345 77.9819 31.6163 653.624
21.2614 77.8728 31.7357 652.71
21.4138 77.8397 31.855 652.432
23.1351 76.2421 31.9743 639.041
21.7774 77.7163 32.0936 651.398
21.9751 77.6383 32.2129 650.744
22.2973 77.4371 32.3322 649.058
22.036 77.8154 32.4515 652.228
22.3839 77.5905 32.5708 650.343
22.1162 77.9749 32.6901 653.566
22.3657 77.8462 32.8094 652.487
23.5408 76.7949 32.9287 643.674
22.7585 77.6907 33.048 651.183
23.1127 77.4597 33.1673 649.247
23.8393 76.8563 33.2866 644.189
23.1886 77.6235 33.406 650.62
22.5333 78.3969 33.5253 657.102
22.2683 78.7803 33.6446 660.316
22.1705 78.9984 33.7639 662.144
22.8199 78.4708 33.8832 657.722
22.5182 78.8882 34.0025 661.221
22.6416 78.8872 34.1218 661.212
23.0117 78.6386 34.2411 659.128
23.0856 78.684 34.3604 659.509
23.1618 78.7269 34.4797 659.868
23.2403 78.77 34.599 660.23
22.9998 79.1255 34.7183 663.209
22.7641 79.4824 34.8376 666.201
24.5523 77.8162 34.9569 652.235
23.1106 79.3744 35.0763 665.296
24.2609 78.3479 35.1956 656.692
24.2876 78.4407 35.3149 657.47
24.014 78.8326 35.4342 660.754
24.0828 78.884 35.5535 661.185
23.3076 79.776 35.6728 668.662
24.6091 78.5963 35.7921 658.774
23.7143 79.6085 35.9114 667.257
24.1594 79.286 36.0307 664.554
23.5189 80.0424 36.15 670.894
24.0048 79.6769 36.2693 667.831
23.7332 80.0693 36.3886 671.12
23.3034 80.6151 36.5079 675.695
24.1139 79.9276 36.6272 669.932
24.1319 80.0287 36.7465 670.78
25.1168 79.1646 36.8659 663.537
24.4351 79.9662 36.9852 670.256
24.9495 79.5707 37.1045 666.941
25.1671 79.4752 37.2238 666.14
24.4704 80.287 37.3431 672.945
24.6899 80.1908 37.4624 672.139
26.5376 78.4688 37.5817 657.705
25.6692 79.4519 37.701 665.945
25.2546 79.9838 37.8203 670.403
26.336 79.0281 37.9396 662.393
25.2203 80.2599 38.0589 672.717
26.2557 79.3419 38.1782 665.023
25.6154 80.1033 38.2975 671.405
26.5178 79.3224 38.4168 664.859
26.3124 79.6468 38.5362 667.579
27.3704 78.7102 38.6555 659.728
26.7784 79.4184 38.7748 665.664
26.966 79.3532 38.8941 665.118
27.8456 78.5958 39.0134 658.769
26.3573 80.1995 39.1327 672.211
27.1776 79.5023 39.252 666.367
27.2473 79.5507 39.3713 666.774
27.6243 79.2947 39.4906 664.627
27.2008 79.839 39.6099 669.19
26.9593 80.193 39.7292 672.157
27.1586 80.1173 39.8485 671.522
26.7808 80.6143 39.9678 675.688
26.6374 80.8756 40.0871 677.878
26.4054 81.2272 40.2065 680.825
27.39 80.3644 40.3258 673.593
27.6218 80.2509 40.4451 672.642
27.9868 80.0084 40.5644 670.609
27.7946 80.3175 40.6837 673.2
27.7154 80.517 40.803 674.873
26.8956 81.4567 40.9223 682.749
26.4324 82.0362 41.0416 687.606
27.5786 81.0093 41.1609 678.999
27.6538 81.0576 41.2802 679.404
26.6289 82.1959 41.3995 688.945
27.627 81.3239 41.5188 681.636
27.8139 81.2552 41.6381 681.06
27.6835 81.5045 41.7574 683.149
28.5157 80.7922 41.8767 677.179
28.4204 81.0079 41.9961 678.987
28.3002 81.25 42.1154 681.017
28.2024 81.4689 42.2347 682.851
28.5423 81.2483 42.354 681.002
28.4073 81.5011 42.4733 683.121
28.6305 81.3965 42.5926 682.244
29.5137 80.6347 42.7119 675.859
29.0345 81.2327 42.8312 680.871
29.0286 81.3591 42.9505 681.93
29.7797 80.7324 43.0698 676.678
29.102 81.5244 43.1891 683.316
30.0187 80.7269 43.3084 676.632
31.3242 79.5501 43.4277 666.768
29.4397 81.5455 43.547 683.493
30.7377 80.3709 43.6664 673.648
31.1666 80.0671 43.7857 671.101
30.8459 80.502 43.905 674.747
30.175 81.2942 44.0243 681.387
31.3859 80.203 44.1436 672.241
30.9124 80.7959 44.2629 677.211
29.6938 82.1291 44.3822 688.385
29.8509 82.0937 44.5015 688.088
29.7173 82.3453 44.6208 690.197
30.0956 82.0867 44.7401 688.029
30.7208 81.5824 44.8594 683.802
31.4034 81.0226 44.9787 679.11
31.0449 81.4993 45.098 683.106
30.5789 82.0856 45.2173 688.02
29.8747 82.9087 45.3367 694.919
29.8082 83.0914 45.456 696.45
30.6704 82.3526 45.5753 690.258
30.8756 82.2685 45.6946 689.553
31.8786 81.3867 45.8139 682.162
31.5628 81.8164 45.9332 685.764
31.2218 82.2795 46.0525 689.645
31.9028 81.7197 46.1718 684.953
31.7645 81.9771 46.2911 687.11
30.9719 82.8871 46.4104 694.738
31.1326 82.8454 46.5297 694.388
32.2379 81.8629 46.649 686.154
32.2414 81.9777 46.7683 687.116
31.2323 83.1079 46.8876 696.589
31.9695 82.489 47.0069 691.401
31.8661 82.7154 47.1263 693.299
32.0191 82.6822 47.2456 693.02
32.4149 82.402 47.3649 690.672
31.8232 83.1104 47.4842 696.61
32.2624 82.7951 47.6035 693.967
32.7711 82.4081 47.7228 690.723
33.1443 82.1563 47.8421 688.613
32.9944 82.4257 47.9614 690.871
32.668 82.8678 48.0807 694.577
34.1714 81.4871 48.2 683.003
32.9995 82.7752 48.3193 693.8
33.5454 82.3505 48.4386 690.241
32.9711 83.044 48.5579 696.053
32.819 83.3137 48.6772 698.314
32.9778 83.2727 48.7966 697.97
33.4739 82.9022 48.9159 694.864
34.1165 82.38 49.0352 690.488
34.0234 82.5931 49.1545 692.274
34.1726 82.5633 49.2738 692.024
34.1605 82.6943 49.3931 693.122
33.4866 83.487 49.5124 699.766
34.3053 82.7872 49.6317 693.901
35.0786 82.135 49.751 688.435
34.3196 83.0105 49.8703 695.773
34.8444 82.6119 49.9896 692.431
34.8293 82.7448 50.1089 693.545
34.8837 82.8084 50.2282 694.078
35.1763 82.6378 50.3475 692.649
33.4357 84.4946 50.4669 708.211
33.874 84.1738 50.5862 705.522
35.6787 82.4928 50.7055 691.433
34.8899 83.4008 50.8248 699.044
35.5421 82.8661 50.9441 694.562
35.6001 82.9302 51.0634 695.099
35.8351 82.8179 51.1827 694.158
35.7954 82.9737 51.302 695.464
35.4768 83.4118 51.4213 699.136
36.2477 82.7619 51.5406 693.689
36.6153 82.5144 51.6599 691.615
