#E_pot E_kin E_opt Temperature
-42991.5 1178.65 0 608.178
-23.5522 1136.81 3.87599 586.593
-32.3326 1148.19 7.75198 592.461
-51.941 1169.53 11.628 603.474
-29.6994 1153.57 15.504 595.236
-32.2939 1159.09 19.38 598.088
-29.5439 1160.6 23.2559 598.869
-23.1404 1158.52 27.1319 597.792
-34.9532 1172.68 31.0079 605.098
-18.229 1161.5 34.8839 599.333
-14.5904 1162.04 38.7599 599.61
-29.4247 1179.12 42.6359 608.424
-12.4331 1167.53 46.5119 602.442
-9.5119 1168.48 50.3879 602.934
-16.4501 1178.47 54.2639 608.087
-9.32042 1175.84 58.1399 606.731
-6.17967 1176.6 62.0158 607.121
-5.74961 1179.96 65.8918 608.854
-1.80249 1180.16 69.7678 608.959
-2.07623 1184.18 73.6438 611.033
2.95295 1183.18 77.5198 610.52
6.55488 1183.89 81.3958 610.885
3.74484 1190.16 85.2718 614.12
7.56232 1190.3 89.1478 614.192
13.5753 1188.5 93.0238 613.265
12.2317 1193.34 96.8998 615.763
11.39 1198.17 100.776 618.25
19.8116 1193.92 104.652 616.059
21.4278 1196.37 108.528 617.322
17.3949 1203.58 112.404 621.045
26.2436 1199.18 116.28 618.775
29.4039 1199.99 120.156 619.191
26.1718 1206.64 124.032 622.622
33.549 1203.85 127.908 621.184
37.1413 1204.12 131.784 621.321
35.1392 1209.79 135.66 624.247
36.5742 1212.15 139.536 625.467
37.4628 1215.07 143.412 626.975
47.2847 1209.68 147.288 624.189
44.3443 1216.17 151.164 627.539
44.3097 1220 155.04 629.518
52.5566 1216.34 158.916 627.628
52.3094 1220.38 162.792 629.712
52.8462 1223.42 166.668 631.282
57.1439 1223.41 170.544 631.278
58.192 1226.18 174.42 632.706
59.7067 1228.51 178.296 633.905
62.7862 1229.55 182.172 634.445
68.3161 1228.1 186.048 633.698
67.7847 1232.29 189.924 635.86
70.1126 1234 193.8 636.74
73.7563 1234.39 197.676 636.94
75.002 1237.05 201.551 638.317
77.6803 1238.33 205.427 638.973
77.0808 1242.64 209.303 641.201
81.0029 1242.68 213.179 641.219
83.1287 1244.46 217.055 642.135
84.3358 1247.04 220.931 643.468
88.445 1247.1 224.807 643.502
91.5136 1248.19 228.683 644.061
89.4563 1253.82 232.559 646.966
94.9216 1252.33 236.435 646.2
98.2637 1253.1 240.311 646.598
100.925 1254.16 244.187 647.145
101.439 1257.55 248.063 648.894
102.849 1260.06 251.939 650.185
109.906 1257.66 255.815 648.95
109.209 1261.82 259.691 651.097
108.374 1266.78 263.567 653.655
116.318 1263.05 267.443 651.728
114.623 1268.2 271.319 654.387
119.029 1268.14 275.195 654.356
126.25 1264.95 279.071 652.71
121.103 1273.32 282.947 657.028
125.355 1273.42 286.823 657.079
130.686 1272.22 290.699 656.463
131.365 1275.22 294.575 658.009
133.231 1277.29 298.451 659.08
137.467 1277.15 302.327 659.007
137.129 1281.27 306.203 661.13
136.677 1285.36 310.079 663.244
140.583 1285.94 313.955 663.544
145.361 1284.94 317.831 663.024
142.362 1291.59 321.707 666.458
144.842 1293.14 325.583 667.259
152.235 1289.96 329.459 665.615
152.609 1293.24 333.335 667.307
153.818 1295.82 337.211 668.639
160.1 1293.72 341.087 667.553
155.606 1301.75 344.963 671.697
161.204 1300.31 348.839 670.959
166.818 1298.75 352.715 670.153
164.153 1305.08 356.591 673.42
168.41 1304.92 360.467 673.335
171.098 1306.31 364.343 674.053
170.54 1310.66 368.219 676.299
174.657 1310.63 372.095 676.282
178.148 1311.09 375.971 676.52
183.114 1310.05 379.847 675.983
179.955 1316.84 383.723 679.484
184.249 1316.61 387.599 679.367
190.176 1315.06 391.475 678.566
185.88 1322.77 395.351 682.547
192.362 1320.31 399.227 681.278
198.239 1318.7 403.103 680.447
198.287 1322.23 406.979 682.268
199.233 1325.2 410.855 683.799
205.597 1323.03 414.731 682.681
205.674 1326.76 418.607 684.603
210.989 1325.69 422.483 684.052
209.152 1331.13 426.359 686.861
213.945 1330.17 430.235 686.362
220.653 1327.77 434.111 685.124
214.328 1337.29 437.987 690.038
221.577 1334.58 441.863 688.638
223.146 1336.78 445.739 689.773
221.924 1341.45 449.615 692.184
230.483 1337.41 453.491 690.099
229.145 1342.53 457.367 692.74
231.218 1344.41 461.243 693.714
234.937 1344.77 465.119 693.898
234.22 1349.15 468.995 696.16
243.442 1344.4 472.871 693.705
240.009 1351.13 476.747 697.182
244.995 1350.37 480.623 696.79
249.597 1349.93 484.499 696.559
244.931 1357.73 488.375 700.584
250.985 1356.47 492.251 699.935
255.595 1355.71 496.127 699.545
253.212 1361.64 500.003 702.601
260.428 1358.82 503.879 701.15
261.397 1361.49 507.755 702.524
265.529 1361.49 511.631 702.526
266.684 1364.39 515.507 704.02
267.415 1367.38 519.383 705.566
272.819 1366.24 523.259 704.974
271.974 1370.75 527.135 707.304
283.487 1363.91 531.011 703.776
276.55 1374.15 534.887 709.06
