#E_pot E_kin E_opt Temperature
1.67463 157.563 0 592.592
1.22193 158.547 0.531776 596.292
1.98186 158.322 1.06355 595.446
2.9806 157.861 1.59533 593.714
2.96978 158.404 2.1271 595.757
2.80832 159.098 2.65888 598.366
3.30382 159.139 3.19065 598.519
4.38849 158.59 3.72243 596.454
4.6739 158.835 4.25421 597.375
4.40716 159.632 4.78598 600.374
5.52254 159.056 5.31776 598.206
6.08017 159.034 5.84953 598.124
5.63156 160.01 6.38131 601.796
5.86869 160.311 6.91308 602.926
5.44208 161.263 7.44486 606.506
7.53799 159.713 7.97663 600.679
7.47714 160.301 8.50841 602.888
6.79315 161.515 9.04019 607.455
6.8201 162.021 9.57196 609.357
8.17422 161.205 10.1037 606.29
9.84438 160.073 10.6355 602.031
8.71876 161.726 11.1673 608.248
9.43369 161.547 11.6991 607.574
9.39112 162.124 12.2308 609.745
9.43098 162.615 12.7626 611.593
9.96395 162.612 13.2944 611.582
10.5056 162.607 13.8262 611.562
11.5183 162.131 14.3579 609.77
11.5505 162.635 14.8897 611.667
11.4047 163.308 15.4215 614.199
11.8832 163.366 15.9533 614.417
11.6561 164.124 16.485 617.269
11.5573 164.757 17.0168 619.65
12.0946 164.753 17.5486 619.635
13.6383 163.745 18.0804 615.842
12.5625 165.351 18.6121 621.884
13.4324 165.018 19.1439 620.629
14.9644 164.022 19.6757 616.884
14.2904 165.23 20.2075 621.426
14.2246 165.819 20.7392 623.644
13.5227 167.054 21.271 628.287
14.2585 166.855 21.8028 627.538
14.8098 166.841 22.3346 627.485
14.6115 167.573 22.8664 630.239
15.8775 166.84 23.3981 627.481
15.7213 167.53 23.9299 630.077
16.004 167.78 24.4617 631.017
15.4902 168.822 24.9935 634.937
15.3633 169.482 25.5252 637.418
16.9238 168.457 26.057 633.563
16.8051 169.107 26.5888 636.01
16.8483 169.598 27.1206 637.854
16.7894 170.189 27.6523 640.076
19.2854 168.238 28.1841 632.742
18.1079 169.944 28.7159 639.155
17.462 171.116 29.2477 643.565
19.0644 170.057 29.7794 639.582
19.4217 170.228 30.3112 640.225
18.5573 171.621 30.843 645.463
19.8582 170.859 31.3748 642.599
20.3158 170.933 31.9065 642.875
20.4584 171.325 32.4383 644.349
19.6761 172.641 32.9701 649.3
21.7868 171.065 33.5019 643.371
21.6227 171.767 34.0336 646.012
21.7491 172.171 34.5654 647.534
21.3234 173.122 35.0972 651.109
22.3813 172.6 35.629 649.145
22.4152 173.1 36.1607 651.026
23.6868 172.363 36.6925 648.256
23.2558 173.331 37.2243 651.895
23.6275 173.49 37.7561 652.493
24.4635 173.195 38.2878 651.385
23.4339 174.746 38.8196 657.216
24.486 174.23 39.3514 655.276
25.9747 173.284 39.8832 651.717
26.085 173.702 40.4149 653.291
27.2936 173.034 40.9467 650.777
26.4666 174.388 41.4785 655.872
27.1075 174.279 42.0103 655.462
27.607 174.317 42.5421 655.603
27.5326 174.921 43.0738 657.875
27.8097 175.181 43.6056 658.854
28.091 175.431 44.1374 659.792
28.5552 175.501 44.6692 660.057
29.4316 175.163 45.2009 658.784
28.4628 176.662 45.7327 664.422
29.9576 175.702 46.2645 660.811
29.8444 176.339 46.7963 663.208
29.219 177.505 47.328 667.594
30.1571 177.105 47.8598 666.09
30.4607 177.33 48.3916 666.937
30.5822 177.742 48.9234 668.484
32.6552 176.204 49.4551 662.7
31.6265 177.766 49.9869 668.576
31.742 178.181 50.5187 670.135
32.8936 177.568 51.0505 667.83
32.7583 178.233 51.5822 670.333
31.5213 179.997 52.114 676.966
33.3188 178.742 52.6458 672.247
34.3592 178.239 53.1776 670.353
34.4662 178.662 53.7093 671.946
32.5258 181.125 54.2411 681.209
34.8305 179.364 54.7729 674.584
34.6734 180.053 55.3047 677.176
34.8865 180.371 55.8364 678.371
37.054 178.75 56.3682 672.275
34.3831 181.943 56.9 684.283
35.2898 181.571 57.4318 682.885
36.1546 181.241 57.9635 681.644
35.5224 182.405 58.4953 686.023
37.3362 181.126 59.0271 681.213
36.8395 182.155 59.5589 685.081
37.8823 181.646 60.0906 683.168
37.0858 182.973 60.6224 688.16
38.128 182.465 61.1542 686.249
38.564 182.562 61.686 686.615
40.053 181.616 62.2177 683.053
39.8481 182.348 62.7495 685.808
40.3419 182.391 63.2813 685.97
40.1967 183.064 63.8131 688.501
42.2131 181.581 64.3449 682.923
40.3651 183.965 64.8766 691.889
40.9847 183.878 65.4084 691.563
41.8371 183.563 65.9402 690.379
41.8026 184.13 66.472 692.51
41.4231 185.039 67.0037 695.927
42.593 184.402 67.5355 693.532
43.6518 183.885 68.0673 691.59
43.8518 184.217 68.5991 692.839
44.2482 184.351 69.1308 693.34
42.9836 186.148 69.6626 700.101
44.0251 185.638 70.1944 698.182
44.8974 185.31 70.7262 696.947
43.6087 187.124 71.2579 703.77
45.0511 186.215 71.7897 700.353
44.3702 187.426 72.3215 704.907
45.3891 186.941 72.8533 703.082
46.9582 185.91 73.385 699.203
47.0318 186.374 73.9168 700.949
47.2702 186.665 74.4486 702.044
47.6112 186.858 74.9804 702.77
47.3444 187.652 75.5121 705.755
47.8777 187.655 76.0439 705.767
49.5721 186.503 76.5757 701.435
49.3326 187.268 77.1075 704.311
49.1893 187.943 77.6392 706.849
49.4803 188.187 78.171 707.769
51.1821 187.022 78.7028 703.388
50.9135 187.821 79.2346 706.393
51.829 187.442 79.7663 704.967
52.5811 187.233 80.2981 704.18
50.5013 189.834 80.8299 713.963
51.3758 189.494 81.3617 712.684
53.4798 187.931 81.8934 706.807
53.6928 188.245 82.4252 707.988
52.7928 189.677 82.957 713.371
55.182 187.835 83.4888 706.443
53.3085 190.228 84.0206 715.445
53.7664 190.304 84.5523 715.73
54.0107 190.596 85.0841 716.83
56.483 188.665 85.6159 709.566
55.6822 189.994 86.1477 714.565
54.4367 191.768 86.6794 721.236
54.9422 191.793 87.2112 721.332
55.2433 192.033 87.743 722.232
55.4368 192.369 88.2748 723.496
58.5808 189.765 88.8065 713.703
57.3605 191.518 89.3383 720.297
56.4344 192.971 89.8701 725.761
57.3168 192.626 90.4019 724.463
57.1304 193.342 90.9336 727.155
57.8006 193.205 91.4654 726.641
57.7497 193.788 91.9972 728.835
58.6363 193.442 92.529 727.533
57.7268 194.877 93.0607 732.931
59.9447 193.195 93.5925 726.604
61.5965 192.085 94.1243 722.431
61.7285 192.483 94.6561 723.924
62.5919 192.156 95.1878 722.696
61.7746 193.502 95.7196 727.757
61.91 193.898 96.2514 729.246
63.1444 193.203 96.7832 726.633
62.5114 194.368 97.3149 731.016
62.8924 194.52 97.8467 731.586
63.7595 194.189 98.3785 730.341
65.486 193 98.9103 725.871
65.2537 193.76 99.442 728.73
64.3864 195.157 99.9738 733.984
63.003 197.071 100.506 741.182
65.4556 195.158 101.037 733.986
65.2273 195.921 101.569 736.856
66.349 195.323 102.101 734.605
68.5792 193.644 102.633 728.29
67.8202 194.929 103.164 733.123
67.178 196.098 103.696 737.521
69.0007 194.82 104.228 732.714
70.4631 193.889 104.76 729.214
69.0876 195.796 105.292 736.386
68.9352 196.481 105.823 738.963
68.9287 197.022 106.355 740.997
68.667 197.815 106.887 743.979
69.4813 197.539 107.419 742.94
69.0399 198.506 107.95 746.579
69.851 198.234 108.482 745.555
68.9611 199.65 109.014 750.881
68.4865 200.651 109.546 754.644
70.6247 199.06 110.078 748.662
71.5585 198.661 110.609 747.162
72.2132 198.544 111.141 746.72
70.6426 200.638 111.673 754.595
69.5053 202.31 112.205 760.885
72.081 200.274 112.736 753.228
