#E_pot E_kin E_opt Temperature
3.4084 220.708 0 595.145
2.75125 219.915 0.370847 593.007
2.84402 220.22 0.741694 593.829
2.66383 220.827 1.11254 595.466
3.0064 220.87 1.48339 595.584
2.88652 221.278 1.85423 596.682
3.48299 221.067 2.22508 596.114
3.7814 221.139 2.59593 596.309
3.68117 221.572 2.96678 597.475
3.90167 221.761 3.33762 597.986
4.64308 221.479 3.70847 597.225
4.79791 221.743 4.07932 597.936
5.24162 221.676 4.45016 597.757
4.84346 222.482 4.82101 599.931
5.0163 222.642 5.19186 600.361
5.61241 222.445 5.5627 599.829
5.76955 222.647 5.93355 600.373
5.63775 223.114 6.3044 601.634
6.61785 222.535 6.67524 600.072
7.00279 222.593 7.04609 600.228
6.05782 223.891 7.41694 603.729
6.92972 223.384 7.78779 602.361
6.41485 224.323 8.15863 604.894
6.90778 224.223 8.52948 604.623
7.81769 223.733 8.90033 603.304
7.82649 224.123 9.27117 604.354
7.25265 225.116 9.64202 607.031
7.20399 225.536 10.0129 608.166
8.23939 224.94 10.3837 606.559
7.73425 225.8 10.7546 608.875
8.32634 225.543 11.1254 608.183
7.8249 226.396 11.4963 610.483
8.88459 225.748 11.8671 608.736
9.5915 225.464 12.2379 607.97
9.53981 225.884 12.6088 609.103
9.54081 226.222 12.9796 610.015
9.4614 226.675 13.3505 611.237
10.1619 226.398 13.7213 610.49
10.2651 226.64 14.0922 611.142
10.1732 227.145 14.463 612.504
10.822 226.832 14.8339 611.66
11.4386 226.605 15.2047 611.047
12.091 226.378 15.5756 610.436
12.0192 226.841 15.9464 611.684
11.9451 227.329 16.3173 613
11.8938 227.706 16.6881 614.015
11.8071 228.115 17.059 615.119
12.213 228.169 17.4298 615.266
12.6033 228.148 17.8007 615.208
12.9036 228.187 18.1715 615.314
12.8476 228.586 18.5423 616.389
13.5182 228.334 18.9132 615.71
13.692 228.494 19.284 616.142
14.3907 228.138 19.6549 615.181
14.9294 228.018 20.0257 614.857
15.4633 227.94 20.3966 614.646
15.0735 228.761 20.7674 616.86
15.9924 228.258 21.1383 615.504
15.6781 228.978 21.5091 617.447
16.1118 228.926 21.88 617.306
15.9777 229.407 22.2508 618.603
16.9645 228.808 22.6217 616.987
16.7277 229.37 22.9925 618.504
16.5313 230.003 23.3634 620.209
17.7118 229.166 23.7342 617.952
17.327 229.935 24.1051 620.027
17.4053 230.253 24.4759 620.884
16.9469 231.122 24.8467 623.227
18.3516 230.094 25.2176 620.457
18.0525 230.85 25.5884 622.495
18.3896 230.865 25.9593 622.535
18.2372 231.384 26.3301 623.935
18.2609 231.8 26.701 625.056
19.306 231.128 27.0718 623.245
19.2081 231.624 27.4427 624.58
19.1656 232.017 27.8135 625.64
19.2927 232.291 28.1844 626.379
19.4379 232.535 28.5552 627.037
20.3134 232.097 28.9261 625.855
20.5817 232.265 29.2969 626.31
20.9477 232.306 29.6678 626.421
20.8258 232.808 30.0386 627.774
21.3263 232.689 30.4094 627.454
22.4931 231.888 30.7803 625.292
22.1202 232.612 31.1511 627.246
21.6825 233.386 31.522 629.333
21.76 233.717 31.8928 630.226
21.9488 233.902 32.2637 630.723
22.6912 233.469 32.6345 629.555
22.1241 234.448 33.0054 632.197
22.417 234.51 33.3762 632.362
22.9619 234.376 33.7471 632.003
23.467 234.279 34.1179 631.74
23.6012 234.557 34.4888 632.489
23.3991 235.194 34.8596 634.209
23.7346 235.19 35.2305 634.196
23.6956 235.577 35.6013 635.239
23.7451 235.978 35.9722 636.321
24.1675 235.986 36.343 636.344
23.7159 236.742 36.7138 638.381
24.2303 236.614 37.0847 638.038
24.1802 237.023 37.4555 639.14
24.7946 236.846 37.8264 638.661
24.9218 237.119 38.1972 639.397
24.7827 237.658 38.5681 640.853
25.9561 236.861 38.9389 638.703
26.3995 236.823 39.3098 638.599
26.912 236.634 39.6806 638.092
26.7825 237.204 40.0515 639.628
26.0863 238.244 40.4223 642.431
26.519 238.215 40.7932 642.353
27.1985 237.925 41.164 641.572
27.9276 237.565 41.5349 640.602
28.0529 237.869 41.9057 641.42
27.8094 238.465 42.2766 643.028
28.6948 237.973 42.6474 641.703
28.7531 238.357 43.0182 642.737
29.257 238.224 43.3891 642.377
28.9297 238.917 43.7599 644.247
29.675 238.578 44.1308 643.333
29.0761 239.509 44.5016 645.844
30.8619 238.129 44.8725 642.121
31.0492 238.276 45.2433 642.519
30.867 238.785 45.6142 643.892
31.908 238.153 45.985 642.186
30.987 239.517 46.3559 645.866
30.8155 240.082 46.7267 647.388
31.1889 240.057 47.0976 647.322
32.7246 239.038 47.4684 644.572
31.653 240.441 47.8393 648.357
31.9823 240.41 48.2101 648.272
31.4546 241.265 48.5809 650.577
31.8605 241.254 48.9518 650.548
31.7459 241.751 49.3226 651.888
32.0213 241.838 49.6935 652.122
33.3583 240.87 50.0643 649.514
33.4503 241.208 50.4352 650.424
33.8901 241.212 50.806 650.435
34.0359 241.419 51.1769 650.994
33.733 242.081 51.5477 652.779
34.1768 242.035 51.9186 652.655
33.4922 243.171 52.2894 655.719
35.1783 241.972 52.6603 652.485
35.6516 241.926 53.0311 652.361
34.5699 243.349 53.402 656.198
35.3218 242.96 53.7728 655.148
35.3799 243.338 54.1437 656.168
35.9703 243.143 54.5145 655.644
36.2043 243.268 54.8853 655.98
36.8609 242.95 55.2562 655.123
36.4691 243.716 55.627 657.187
37.5023 243.034 55.9979 655.348
38.0125 242.842 56.3687 654.831
38.4529 242.781 56.7396 654.666
37.4485 244.128 57.1104 658.299
38.2337 243.746 57.4813 657.268
37.4309 244.904 57.8521 660.391
38.0088 244.7 58.223 659.841
38.3094 244.844 58.5938 660.229
38.6242 244.864 58.9647 660.282
37.7105 246.159 59.3355 663.776
38.4849 245.765 59.7064 662.713
39.5357 245.131 60.0772 661.002
40.1218 244.982 60.4481 660.602
40.9057 244.644 60.8189 659.69
41.7386 244.203 61.1897 658.501
41.0367 245.385 61.5606 661.689
41.3607 245.481 61.9314 661.948
41.6232 245.589 62.3023 662.239
42.3486 245.246 62.6731 661.314
41.1417 246.925 63.044 665.841
41.7438 246.691 63.4148 665.208
41.951 246.868 63.7857 665.686
42.0967 247.095 64.1565 666.299
42.2374 247.337 64.5274 666.952
43.1853 246.789 64.8982 665.474
42.4954 247.952 65.2691 668.61
42.807 247.99 65.6399 668.713
44.5933 246.599 66.0108 664.963
44.3001 247.2 66.3816 666.583
44.1327 247.828 66.7524 668.276
43.6858 248.602 67.1233 670.362
44.0469 248.639 67.4941 670.463
45.1556 247.956 67.865 668.62
45.5883 247.875 68.2358 668.403
44.8436 249.039 68.6067 671.541
43.8632 250.361 68.9775 675.107
45.1181 249.516 69.3484 672.827
45.7485 249.163 69.7192 671.877
46.8748 248.459 70.0901 669.977
47.8841 247.825 70.4609 668.268
47.2052 248.934 70.8318 671.259
48.1091 248.497 71.2026 670.08
48.3605 248.605 71.5735 670.371
48.7455 248.662 71.9443 670.526
48.1273 249.522 72.3152 672.843
47.8422 250.263 72.686 674.843
48.5712 249.841 73.0568 673.705
48.5607 250.21 73.4277 674.7
48.7201 250.492 73.7985 675.458
49.048 250.562 74.1694 675.648
48.2936 251.692 74.5402 678.695
49.8198 250.523 74.9111 675.544
48.8199 251.922 75.2819 679.316
48.9379 252.121 75.6528 679.852
49.9843 251.501 76.0236 678.18
50.0042 251.881 76.3945 679.204
50.6328 251.593 76.7653 678.427
