#E_pot E_kin E_opt Temperature
-85370.3 2174.07 0 585.205
44.5621 2292.5 7.43012 617.083
199.716 2160.69 14.8602 581.603
59.2125 2294.4 22.2904 617.593
163.848 2207.62 29.7205 594.234
116.788 2256.89 37.1506 607.497
141.844 2241.9 44.5807 603.462
144.362 2246.07 52.0109 604.585
142.169 2255.93 59.441 607.24
153.878 2252.08 66.8711 606.203
153.676 2259.95 74.3012 608.322
139.882 2279.4 81.7314 613.557
182.728 2247.85 89.1615 605.063
142.373 2291.4 96.5916 616.786
185.201 2260.33 104.022 608.423
156.667 2293.22 111.452 617.277
187.725 2272.06 118.882 611.581
177.166 2288.69 126.312 616.057
184.352 2289.48 133.742 616.269
193.919 2287.92 141.172 615.851
190.573 2297.97 148.602 618.555
201.64 2294.85 156.033 617.714
203.794 2300.24 163.463 619.167
204.659 2306.51 170.893 620.854
214.116 2305.33 178.323 620.537
211.112 2314.91 185.753 623.116
225.863 2308.88 193.183 621.493
220.199 2321.13 200.613 624.79
231.266 2318.32 208.043 624.033
233.531 2323.34 215.474 625.385
237.998 2326.44 222.904 626.219
247.13 2325.52 230.334 625.971
238.841 2340.17 237.764 629.915
254.716 2332.44 245.194 627.834
253.008 2341.17 252.624 630.184
257.066 2344.65 260.054 631.119
264.2 2345.01 267.484 631.217
268.775 2348.12 274.915 632.054
273.885 2350.67 282.345 632.741
276.363 2355.69 289.775 634.091
281.46 2358.06 297.205 634.73
287.386 2360.04 304.635 635.264
291.044 2363.67 312.065 636.24
299.076 2363.46 319.495 636.183
298.211 2371.29 326.925 638.29
306.699 2371.09 334.356 638.237
307.253 2377.93 341.786 640.078
316.406 2376.58 349.216 639.715
313.509 2386.28 356.646 642.325
327.813 2380.59 364.076 640.793
317.285 2397.61 371.506 645.374
339.558 2384.34 378.936 641.803
326.232 2404.09 386.366 647.119
344.919 2393.96 393.797 644.394
340.962 2404.54 401.227 647.242
346.424 2407.07 408.657 647.921
350.582 2410.36 416.087 648.807
354.806 2413.94 423.517 649.771
359.482 2417.03 430.947 650.602
367.11 2417.13 438.377 650.629
365.777 2425.6 445.807 652.91
373.426 2426.01 453.238 653.019
376.133 2430.58 460.668 654.251
384.804 2430.05 468.098 654.107
390.829 2431.53 475.528 654.505
393.94 2435.79 482.958 655.653
397.422 2439.74 490.388 656.715
402.875 2442.14 497.818 657.363
404.203 2447.84 505.248 658.897
412.362 2447.52 512.679 658.81
418.926 2448.16 520.109 658.984
420.24 2454.98 527.539 660.817
425.237 2457.55 534.969 661.511
431.526 2458.98 542.399 661.895
431.493 2466.3 549.829 663.865
440.111 2465.72 557.259 663.709
441.748 2471.57 564.689 665.283
445.227 2475.57 572.119 666.361
450.872 2477.24 579.55 666.81
453.335 2482.59 586.98 668.249
