#E_pot E_kin E_opt Temperature
-28341.4 794.671 0 603.974
-17.8734 781.739 2.63148 594.145
-13.1165 780.047 5.26295 592.859
-20.6114 789.146 7.89443 599.775
-18.1323 789.587 10.5259 600.11
-9.02743 783.903 13.1574 595.79
-11.7744 788.832 15.7889 599.536
-17.221 796.302 18.4203 605.213
-11.6923 793.796 21.0518 603.309
-4.62056 790.099 23.6833 600.499
-3.96653 791.894 26.3148 601.864
-7.06191 797.261 28.9462 605.942
-4.64186 797.646 31.5777 606.235
-0.705632 796.842 34.2092 605.624
1.07207 797.436 36.8407 606.076
2.16524 798.84 39.4721 607.142
4.32886 799.762 42.1036 607.843
6.66585 800.097 44.7351 608.098
3.28095 805.772 47.3666 612.411
5.67005 806.118 49.998 612.674
10.3614 804.454 52.6295 611.409
10.0383 807.254 55.261 613.537
9.58511 810.029 57.8925 615.646
13.0007 809.608 60.5239 615.326
18.3495 807.385 63.1554 613.637
19.8284 808.48 65.7869 614.469
17.7888 812.916 68.4184 617.84
19.4768 814.071 71.0498 618.719
21.8858 814.423 73.6813 618.986
23.6854 815.25 76.3128 619.615
23.902 817.524 78.9443 621.343
25.9688 818.181 81.5757 621.842
28.4005 818.369 84.2072 621.985
29.2168 820.137 86.8387 623.329
31.415 820.674 89.4702 623.737
32.7227 822.202 92.1016 624.898
35.8802 821.709 94.7331 624.523
37.0433 823.188 97.3646 625.648
39.4126 823.527 99.9961 625.906
41.1244 824.553 102.628 626.685
38.9929 829.091 105.259 630.134
42.5953 828.176 107.89 629.439
47.1983 826.594 110.522 628.236
47.9371 828.29 113.153 629.525
46.7996 832.038 115.785 632.374
47.3124 834.077 118.416 633.924
51.9615 832.375 121.048 632.63
55.8128 831.242 123.679 631.769
53.3518 836.277 126.311 635.595
54.4497 837.65 128.942 636.639
54.2932 840.568 131.574 638.857
60.6334 836.996 134.205 636.142
62.9891 837.524 136.837 636.543
63.5805 839.5 139.468 638.045
62.411 843.233 142.1 640.882
62.5658 845.688 144.731 642.748
66.9585 844.108 147.363 641.548
71.2917 842.77 149.994 640.531
66.7236 849.553 152.626 645.686
70.7526 848.448 155.257 644.846
75.1321 846.978 157.889 643.729
72.707 851.678 160.52 647.301
72.0128 854.83 163.151 649.697
80.1556 849.931 165.783 645.973
83.2366 849.693 168.414 645.792
81.172 854.01 171.046 649.073
78.8062 858.724 173.677 652.656
84.2303 856.404 176.309 650.893
87.1368 856.212 178.94 650.746
86.4274 859.3 181.572 653.093
89.0577 859.627 184.203 653.342
91.5652 859.989 186.835 653.617
92.0828 862.089 189.466 655.213
